year,ac_no,ac_name,file_name
2013,1,Purola (SC),uttarakhand_2013/A001.pdf
2013,36,Yamkeshwar,uttarakhand_2013/A036.pdf
2013,2,Yamunotri,uttarakhand_2013/A002.pdf
2013,37,Pauri(SC),uttarakhand_2013/A037.pdf
2013,3,Gangotri,uttarakhand_2013/A003.pdf
2013,38,Srinagar,uttarakhand_2013/A038.pdf
2013,4,Badrinath,uttarakhand_2013/A004.pdf
2013,39,Chaubatakhal,uttarakhand_2013/A039.pdf
2013,5,Tharali(SC),uttarakhand_2013/A005.pdf
2013,40,Lansdown,uttarakhand_2013/A040.pdf
2013,6,KaranPrayag,uttarakhand_2013/A006.pdf
2013,41,Kotdwar,uttarakhand_2013/A041.pdf
2013,7,Kedarnath,uttarakhand_2013/A007.pdf
2013,42,Dharchula,uttarakhand_2013/A042.pdf
2013,8,Rudraprayag,uttarakhand_2013/A008.pdf
2013,43,Didihaat,uttarakhand_2013/A043.pdf
2013,9,Ghansali(SC),uttarakhand_2013/A009.pdf
2013,44,Pithoragarh,uttarakhand_2013/A044.pdf
2013,10,Devprayag,uttarakhand_2013/A010.pdf
2013,45,Gangolihat(SC),uttarakhand_2013/A045.pdf
2013,11,Narendernagar,uttarakhand_2013/A011.pdf
2013,46,Kapkot,uttarakhand_2013/A046.pdf
2013,12,Pratapnagar,uttarakhand_2013/A012.pdf
2013,47,Bageshwar(SC),uttarakhand_2013/A047.pdf
2013,13,Tehri,uttarakhand_2013/A013.pdf
2013,48,Dwarahat,uttarakhand_2013/A048.pdf
2013,14,Dhanaulti,uttarakhand_2013/A014.pdf
2013,49, Sult,uttarakhand_2013/A049.pdf
2013,15,Chakrata(ST),uttarakhand_2013/A015.pdf
2013,50,Ranikhet,uttarakhand_2013/A050.pdf
2013,16,Vikasnagar,uttarakhand_2013/A016.pdf
2013,51,Someshwar(SC),uttarakhand_2013/A051.pdf
2013,17,Sahaspur,uttarakhand_2013/A017.pdf
2013,52,Almora,uttarakhand_2013/A052.pdf
2013,18,Dharmpur,uttarakhand_2013/A018.pdf
2013,53,Jageshwar,uttarakhand_2013/A053.pdf
2013,19,Raipur,uttarakhand_2013/A019.pdf
2013,54,Lohaghat,uttarakhand_2013/A054.pdf
2013,20,Rajpur Road(SC),uttarakhand_2013/A020.pdf
2013,55,Champawat,uttarakhand_2013/A055.pdf
2013,21,Dehradun Cantt.,uttarakhand_2013/A021.pdf
2013,56,Lalkuan,uttarakhand_2013/A056.pdf
2013,22,Mussoorie,uttarakhand_2013/A022.pdf
2013,57,Bhimtal,uttarakhand_2013/A057.pdf
2013,23,Doiwala,uttarakhand_2013/A023.pdf
2013,58,Nainital(SC),uttarakhand_2013/A058.pdf
2013,24,Rishikesh,uttarakhand_2013/A024.pdf
2013,59,Haldwani,uttarakhand_2013/A059.pdf
2013,25,Haridwar,uttarakhand_2013/A025.pdf
2013,60,Kaladhungi,uttarakhand_2013/A060.pdf
2013,26,BHEL Ranipur,uttarakhand_2013/A026.pdf
2013,61,Ramnagar,uttarakhand_2013/A061.pdf
2013,27,Jwalapur(SC),uttarakhand_2013/A027.pdf
2013,62, Jaspur,uttarakhand_2013/A062.pdf
2013,28,Bhagwanpur(SC),uttarakhand_2013/A028.pdf
2013,63, Kashipur,uttarakhand_2013/A063.pdf
2013,29,Jhabreda(SC),uttarakhand_2013/A029.pdf
2013,64,Bajpur(SC),uttarakhand_2013/A064.pdf
2013,30,Peeran kalier,uttarakhand_2013/A030.pdf
2013,65,Gadarpur,uttarakhand_2013/A065.pdf
2013,31,Roorkee,uttarakhand_2013/A031.pdf
2013,66,Rudrapur,uttarakhand_2013/A066.pdf
2013,32,Khanpur,uttarakhand_2013/A032.pdf
2013,67,Kichha,uttarakhand_2013/A067.pdf
2013,33,Manglore,uttarakhand_2013/A033.pdf
2013,68,Sitarganj,uttarakhand_2013/A068.pdf
2013,34,Laksar,uttarakhand_2013/A034.pdf
2013,69,Nanakmatta(ST),uttarakhand_2013/A069.pdf
2013,35,Haridwar Rural,uttarakhand_2013/A035.pdf
2013,70,Khatima,uttarakhand_2013/A070.pdf
