year,ac_no,ac_name,file_name
2008,1,Purola (SC),uttarakhand_2008/A001.pdf
2008,36,Yamkeshwar,uttarakhand_2008/A036.pdf
2008,2,Yamunotri,uttarakhand_2008/A002.pdf
2008,37,Paudi,uttarakhand_2008/A037.pdf
2008,3,Gangotri,uttarakhand_2008/A003.pdf
2008,38,Srinagar,uttarakhand_2008/A038.pdf
2008,4,Badrinath,uttarakhand_2008/A004.pdf
2008,39,Chaubatakhal,uttarakhand_2008/A039.pdf
2008,5,Tharali,uttarakhand_2008/A005.pdf
2008,40,Lanncedown,uttarakhand_2008/A040.pdf
2008,6,KaranPrayag,uttarakhand_2008/A006.pdf
2008,41,Kotdwar,uttarakhand_2008/A041.pdf
2008,7,Kedarnath,uttarakhand_2008/A007.pdf
2008,42,Dharchula,uttarakhand_2008/A042.pdf
2008,8,Rudraprayag,uttarakhand_2008/A008.pdf
2008,43,Didihaat,uttarakhand_2008/A043.pdf
2008,9,Ghansali,uttarakhand_2008/A009.pdf
2008,44,Pithoragarh,uttarakhand_2008/A044.pdf
2008,10,Devprayag,uttarakhand_2008/A010.pdf
2008,45,Gangolihat(SC),uttarakhand_2008/A045.pdf
2008,11,Narendernagar,uttarakhand_2008/A011.pdf
2008,46,Kapkot,uttarakhand_2008/A046.pdf
2008,12,Pratapnagar,uttarakhand_2008/A012.pdf
2008,47,Salt,uttarakhand_2008/A047.pdf
2008,13,Tehri,uttarakhand_2008/A013.pdf
2008,48,Ranikhet,uttarakhand_2008/A048.pdf
2008,14,Dhanaulty(SC),uttarakhand_2008/A014.pdf
2008,49,Someshwar (SC),uttarakhand_2008/A049.pdf
2008,15,Chakrata(ST),uttarakhand_2008/A015.pdf
2008,50,Almora,uttarakhand_2008/A050.pdf
2008,16,Vikasnagar,uttarakhand_2008/A016.pdf
2008,51,Jageshwar,uttarakhand_2008/A051.pdf
2008,17,Sahaspur(SC),uttarakhand_2008/A017.pdf
2008,52,Mukteshwar(SC),uttarakhand_2008/A052.pdf
2008,18,Dharmpur,uttarakhand_2008/A018.pdf
2008,53,Dhari,uttarakhand_2008/A053.pdf
2008,19,Raipur,uttarakhand_2008/A019.pdf
2008,54,Haldwani,uttarakhand_2008/A054.pdf
2008,20,Rajpur Road,uttarakhand_2008/A020.pdf
2008,55,Nainital,uttarakhand_2008/A055.pdf
2008,21,Dehradun,uttarakhand_2008/A021.pdf
2008,56,Ramnagar,uttarakhand_2008/A056.pdf
2008,22,Mussoorie,uttarakhand_2008/A022.pdf
2008,57,Jaspur,uttarakhand_2008/A057.pdf
2008,23,Doiwala,uttarakhand_2008/A023.pdf
2008,58,Kashipur,uttarakhand_2008/A058.pdf
2008,24,Rishikesh,uttarakhand_2008/A024.pdf
2008,59,Bajpur,uttarakhand_2008/A059.pdf
2008,25,Hardwar,uttarakhand_2008/A025.pdf
2008,60,Pantnagar-Gadarpur,uttarakhand_2008/A060.pdf
2008,26,BHEL Ranipur,uttarakhand_2008/A026.pdf
2008,61,Rudrapur-Kichha,uttarakhand_2008/A061.pdf
2008,27,Jwalapur,uttarakhand_2008/A027.pdf
2008,62,Sitarganj (SC),uttarakhand_2008/A062.pdf
2008,28,Bhagwanpur(SC),uttarakhand_2008/A028.pdf
2008,63,Khatima (ST),uttarakhand_2008/A063.pdf
2008,29,Jhabreda,uttarakhand_2008/A029.pdf
2008,64,Baazpur,uttarakhand_2008/A064.pdf
2008,30,Peerankalier,uttarakhand_2008/A030.pdf
2008,65,Gadarpur,uttarakhand_2008/A065.pdf
2008,31,Roorkee,uttarakhand_2008/A031.pdf
2008,66,Rudrapur,uttarakhand_2008/A066.pdf
2008,32,Khanpur,uttarakhand_2008/A032.pdf
2008,67,Kichha,uttarakhand_2008/A067.pdf
2008,33,Manglor,uttarakhand_2008/A033.pdf
2008,68,Sitarganj,uttarakhand_2008/A068.pdf
2008,34,Laksar,uttarakhand_2008/A034.pdf
2008,69,Nanakmatta,uttarakhand_2008/A069.pdf
2008,35,Hardwar Village,uttarakhand_2008/A035.pdf
2008,70,Khatima,uttarakhand_2008/A070.pdf
