year,ac_no,ac_name,file_name
2011,1,Purola (SC),uttarakhand_2011/A001.pdf
2011,36,Yamkeshwar,uttarakhand_2011/A036.pdf
2011,2,Yamunotri,uttarakhand_2011/A002.pdf
2011,37,Pauri(SC),uttarakhand_2011/A037.pdf
2011,3,Gangotri,uttarakhand_2011/A003.pdf
2011,38,Srinagar,uttarakhand_2011/A038.pdf
2011,4,Badrinath,uttarakhand_2011/A004.pdf
2011,39,Chaubatakhal,uttarakhand_2011/A039.pdf
2011,5,Tharali(SC),uttarakhand_2011/A005.pdf
2011,40,Lansdown,uttarakhand_2011/A040.pdf
2011,6,Karan Prayag,uttarakhand_2011/A006.pdf
2011,41,Kotdwar,uttarakhand_2011/A041.pdf
2011,7,Kedarnath,uttarakhand_2011/A007.pdf
2011,42,Dharchula,uttarakhand_2011/A042.pdf
2011,8,Rudra Prayag,uttarakhand_2011/A008.pdf
2011,43,Didihaat,uttarakhand_2011/A043.pdf
2011,9,Ghansali(SC),uttarakhand_2011/A009.pdf
2011,44,Pithoragarh,uttarakhand_2011/A044.pdf
2011,10,Devprayag,uttarakhand_2011/A010.pdf
2011,45,Gangolihat(SC),uttarakhand_2011/A045.pdf
2011,11,Narendernagar,uttarakhand_2011/A011.pdf
2011,46,Kapkot,uttarakhand_2011/A046.pdf
2011,12,Pratapnagar,uttarakhand_2011/A012.pdf
2011,47,Bageshwar(SC),uttarakhand_2011/A047.pdf
2011,13,Tehri,uttarakhand_2011/A013.pdf
2011,48,Dwarahat,uttarakhand_2011/A048.pdf
2011,14,Dhanaulti,uttarakhand_2011/A014.pdf
2011,49,Sult,uttarakhand_2011/A049.pdf
2011,15,Chakrata(ST),uttarakhand_2011/A015.pdf
2011,50,Ranikhet,uttarakhand_2011/A050.pdf
2011,16,Vikasnagar,uttarakhand_2011/A016.pdf
2011,51,Someshwar(SC),uttarakhand_2011/A051.pdf
2011,17,Sahaspur,uttarakhand_2011/A017.pdf
2011,52,Almora,uttarakhand_2011/A052.pdf
2011,18,Dhrampur,uttarakhand_2011/A018.pdf
2011,53,Jageshwar,uttarakhand_2011/A053.pdf
2011,19,Raipur,uttarakhand_2011/A019.pdf
2011,54,Lohaghat,uttarakhand_2011/A054.pdf
2011,20,Rajpur Road(SC),uttarakhand_2011/A020.pdf
2011,55,Champawat,uttarakhand_2011/A055.pdf
2011,21,Dehradun Cantt.,uttarakhand_2011/A021.pdf
2011,56,Lalkuan,uttarakhand_2011/A056.pdf
2011,22,Mussoorie,uttarakhand_2011/A022.pdf
2011,57,Bhimtal,uttarakhand_2011/A057.pdf
2011,23,Doiwala,uttarakhand_2011/A023.pdf
2011,58,Nainital(SC),uttarakhand_2011/A058.pdf
2011,24,Rishikesh,uttarakhand_2011/A024.pdf
2011,59,Haldwani,uttarakhand_2011/A059.pdf
2011,25,Haridwar,uttarakhand_2011/A025.pdf
2011,60,Kala Bhungi,uttarakhand_2011/A060.pdf
2011,26,BHEL Ranipur,uttarakhand_2011/A026.pdf
2011,61,Ramnagar,uttarakhand_2011/A061.pdf
2011,27,Jwalapur(SC),uttarakhand_2011/A027.pdf
2011,62,Jaspur,uttarakhand_2011/A062.pdf
2011,28,Bhagwanpur(SC),uttarakhand_2011/A028.pdf
2011,63,Kashipur,uttarakhand_2011/A063.pdf
2011,29,Jhabreda(SC),uttarakhand_2011/A029.pdf
2011,64,Bajpur(SC),uttarakhand_2011/A064.pdf
2011,30,Peeran kalier,uttarakhand_2011/A030.pdf
2011,65,Gadarpur,uttarakhand_2011/A065.pdf
2011,31,Roorkee,uttarakhand_2011/A031.pdf
2011,66,Rudrapur,uttarakhand_2011/A066.pdf
2011,32,Khanpur,uttarakhand_2011/A032.pdf
2011,67,Kichha,uttarakhand_2011/A067.pdf
2011,33,Manglore,uttarakhand_2011/A033.pdf
2011,68,Sitarganj(SC),uttarakhand_2011/A068.pdf
2011,34,Laksar,uttarakhand_2011/A034.pdf
2011,69,Nanakmatta(ST),uttarakhand_2011/A069.pdf
2011,35,Haridwar Rural,uttarakhand_2011/A035.pdf
2011,70,Khatima,uttarakhand_2011/A070.pdf
