year,ac_no,ac_name,file_name
2015,1,Purola (SC),uttarakhand_2015/A001.pdf
2015,36,Yamkeshwar,uttarakhand_2015/A036.pdf
2015,2,Yamunotri,uttarakhand_2015/A002.pdf
2015,37,Pauri(SC),uttarakhand_2015/A037.pdf
2015,3,Gangotri,uttarakhand_2015/A003.pdf
2015,38,Srinagar,uttarakhand_2015/A038.pdf
2015,4,Badrinath,uttarakhand_2015/A004.pdf
2015,39,Chaubatakhal,uttarakhand_2015/A039.pdf
2015,5,Tharali(SC),uttarakhand_2015/A005.pdf
2015,40,Lansdown,uttarakhand_2015/A040.pdf
2015,6,KaranPrayag,uttarakhand_2015/A006.pdf
2015,41,Kotdwar,uttarakhand_2015/A041.pdf
2015,7,Kedarnath,uttarakhand_2015/A007.pdf
2015,42,Dharchula,uttarakhand_2015/A042.pdf
2015,8,Rudraprayag,uttarakhand_2015/A008.pdf
2015,43,Didihaat,uttarakhand_2015/A043.pdf
2015,9,Ghansali(SC),uttarakhand_2015/A009.pdf
2015,44,Pithoragarh,uttarakhand_2015/A044.pdf
2015,10,Devprayag,uttarakhand_2015/A010.pdf
2015,45,Gangolihat(SC),uttarakhand_2015/A045.pdf
2015,11,Narendernagar,uttarakhand_2015/A011.pdf
2015,46,Kapkot,uttarakhand_2015/A046.pdf
2015,12,Pratapnagar,uttarakhand_2015/A012.pdf
2015,47,Bageshwar(SC),uttarakhand_2015/A047.pdf
2015,13,Tehri,uttarakhand_2015/A013.pdf
2015,48,Dwarahat,uttarakhand_2015/A048.pdf
2015,14,Dhanaulti,uttarakhand_2015/A014.pdf
2015,49, Sult,uttarakhand_2015/A049.pdf
2015,15,Chakrata(ST),uttarakhand_2015/A015.pdf
2015,50,Ranikhet,uttarakhand_2015/A050.pdf
2015,16,Vikasnagar,uttarakhand_2015/A016.pdf
2015,51,Someshwar(SC),uttarakhand_2015/A051.pdf
2015,17,Sahaspur,uttarakhand_2015/A017.pdf
2015,52,Almora,uttarakhand_2015/A052.pdf
2015,18,Dharmpur,uttarakhand_2015/A018.pdf
2015,53,Jageshwar,uttarakhand_2015/A053.pdf
2015,19,Raipur,uttarakhand_2015/A019.pdf
2015,54,Lohaghat,uttarakhand_2015/A054.pdf
2015,20,Rajpur Road(SC),uttarakhand_2015/A020.pdf
2015,55,Champawat,uttarakhand_2015/A055.pdf
2015,21,Dehradun Cantt.,uttarakhand_2015/A021.pdf
2015,56,Lalkuan,uttarakhand_2015/A056.pdf
2015,22,Mussoorie,uttarakhand_2015/A022.pdf
2015,57,Bhimtal,uttarakhand_2015/A057.pdf
2015,23,Doiwala,uttarakhand_2015/A023.pdf
2015,58,Nainital(SC),uttarakhand_2015/A058.pdf
2015,24,Rishikesh,uttarakhand_2015/A024.pdf
2015,59,Haldwani,uttarakhand_2015/A059.pdf
2015,25,Haridwar,uttarakhand_2015/A025.pdf
2015,60,Kaladhungi,uttarakhand_2015/A060.pdf
2015,26,BHEL Ranipur,uttarakhand_2015/A026.pdf
2015,61,Ramnagar,uttarakhand_2015/A061.pdf
2015,27,Jwalapur(SC),uttarakhand_2015/A027.pdf
2015,62, Jaspur,uttarakhand_2015/A062.pdf
2015,28,Bhagwanpur(SC),uttarakhand_2015/A028.pdf
2015,63, Kashipur,uttarakhand_2015/A063.pdf
2015,29,Jhabreda(SC),uttarakhand_2015/A029.pdf
2015,64,Bajpur(SC),uttarakhand_2015/A064.pdf
2015,30,Peeran kalier,uttarakhand_2015/A030.pdf
2015,65,Gadarpur,uttarakhand_2015/A065.pdf
2015,31,Roorkee,uttarakhand_2015/A031.pdf
2015,66,Rudrapur,uttarakhand_2015/A066.pdf
2015,32,Khanpur,uttarakhand_2015/A032.pdf
2015,67,Kichha,uttarakhand_2015/A067.pdf
2015,33,Manglore,uttarakhand_2015/A033.pdf
2015,68,Sitarganj,uttarakhand_2015/A068.pdf
2015,34,Laksar,uttarakhand_2015/A034.pdf
2015,69,Nanakmatta(ST),uttarakhand_2015/A069.pdf
2015,35,Haridwar Rural,uttarakhand_2015/A035.pdf
2015,70,Khatima,uttarakhand_2015/A070.pdf
