year,ac_no,ac_name,file_name
2007,1,Purola (SC),uttarakhand_2007/A001.pdf
2007,36,Rudraprayag,uttarakhand_2007/A036.pdf
2007,2,Gangotri,uttarakhand_2007/A002.pdf
2007,37,Kedarnath,uttarakhand_2007/A037.pdf
2007,3,Yamunotri,uttarakhand_2007/A003.pdf
2007,38,Badrinath,uttarakhand_2007/A038.pdf
2007,4,Pratapnagar,uttarakhand_2007/A004.pdf
2007,39,Nandprayag,uttarakhand_2007/A039.pdf
2007,5,Tehri,uttarakhand_2007/A005.pdf
2007,40,Karanprayag,uttarakhand_2007/A040.pdf
2007,6,Ghansali,uttarakhand_2007/A006.pdf
2007,41,Pindar (S.C),uttarakhand_2007/A041.pdf
2007,7,Deoprayag,uttarakhand_2007/A007.pdf
2007,42,Kapkot,uttarakhand_2007/A042.pdf
2007,8,Narendranagar,uttarakhand_2007/A008.pdf
2007,43,Kanda,uttarakhand_2007/A043.pdf
2007,9,Dhanolti (SC),uttarakhand_2007/A009.pdf
2007,44,Bageshwar (SC),uttarakhand_2007/A044.pdf
2007,10,Chakrata (ST),uttarakhand_2007/A010.pdf
2007,45,Dwarahat,uttarakhand_2007/A045.pdf
2007,11,Vikasnagar,uttarakhand_2007/A011.pdf
2007,46,Bhikiasain,uttarakhand_2007/A046.pdf
2007,12,Sahaspur (SC),uttarakhand_2007/A012.pdf
2007,47,Salt,uttarakhand_2007/A047.pdf
2007,13,Laxman Chowk,uttarakhand_2007/A013.pdf
2007,48,Ranikhet,uttarakhand_2007/A048.pdf
2007,14,Dehradun,uttarakhand_2007/A014.pdf
2007,49,Someshwar (SC),uttarakhand_2007/A049.pdf
2007,15,Rajpur,uttarakhand_2007/A015.pdf
2007,50,Almora,uttarakhand_2007/A050.pdf
2007,16,Mussoorie,uttarakhand_2007/A016.pdf
2007,51,Jageshwar,uttarakhand_2007/A051.pdf
2007,17,Rishikesh,uttarakhand_2007/A017.pdf
2007,52,Mukteshwar(SC),uttarakhand_2007/A052.pdf
2007,18,Doiwala,uttarakhand_2007/A018.pdf
2007,53,Dhari,uttarakhand_2007/A053.pdf
2007,19,Bhagwanpur (SC),uttarakhand_2007/A019.pdf
2007,54,Haldwani,uttarakhand_2007/A054.pdf
2007,20,Roorkee,uttarakhand_2007/A020.pdf
2007,55,Nainital,uttarakhand_2007/A055.pdf
2007,21,Iqbalpur,uttarakhand_2007/A021.pdf
2007,56,Ramnagar,uttarakhand_2007/A056.pdf
2007,22,Manglore,uttarakhand_2007/A022.pdf
2007,57,Jaspur,uttarakhand_2007/A057.pdf
2007,23,Landhaura (SC),uttarakhand_2007/A023.pdf
2007,58,Kashipur,uttarakhand_2007/A058.pdf
2007,24,Laksar,uttarakhand_2007/A024.pdf
2007,59,Bajpur,uttarakhand_2007/A059.pdf
2007,25,Bahadrabad,uttarakhand_2007/A025.pdf
2007,60,Pantnagar-Gadarpur,uttarakhand_2007/A060.pdf
2007,26,Hardwar,uttarakhand_2007/A026.pdf
2007,61,Rudrapur-Kichha,uttarakhand_2007/A061.pdf
2007,27,Laldhang,uttarakhand_2007/A027.pdf
2007,62,Sitarganj (SC),uttarakhand_2007/A062.pdf
2007,28,Yamkeshwar,uttarakhand_2007/A028.pdf
2007,63,Khatima (ST),uttarakhand_2007/A063.pdf
2007,29,Kotdwar,uttarakhand_2007/A029.pdf
2007,64,Champawat,uttarakhand_2007/A064.pdf
2007,30,Dhumakot,uttarakhand_2007/A030.pdf
2007,65,Lohaghat,uttarakhand_2007/A065.pdf
2007,31,Bironkhal,uttarakhand_2007/A031.pdf
2007,66,Pithoragarh,uttarakhand_2007/A066.pdf
2007,32,Lansdowne,uttarakhand_2007/A032.pdf
2007,67,Gangolihat (SC),uttarakhand_2007/A067.pdf
2007,33,Pauri,uttarakhand_2007/A033.pdf
2007,68,Didihat,uttarakhand_2007/A068.pdf
2007,34,Srinagar (SC),uttarakhand_2007/A034.pdf
2007,69,Kanalichhina,uttarakhand_2007/A069.pdf
2007,35,Thalisain,uttarakhand_2007/A035.pdf
2007,70,Dharchula (ST),uttarakhand_2007/A070.pdf
