year,ac_no,ac_name,file_name
2009,1,Purola (SC),uttarakhand_2009/A001.pdf
2009,36,Yamkeshwar,uttarakhand_2009/A036.pdf
2009,2,Yamunotri,uttarakhand_2009/A002.pdf
2009,37,Pauri(SC),uttarakhand_2009/A037.pdf
2009,3,Gangotri,uttarakhand_2009/A003.pdf
2009,38,Srinagar,uttarakhand_2009/A038.pdf
2009,4,Badrinath,uttarakhand_2009/A004.pdf
2009,39,Chaubatakhal,uttarakhand_2009/A039.pdf
2009,5,Tharali(SC),uttarakhand_2009/A005.pdf
2009,40,Lanncedown,uttarakhand_2009/A040.pdf
2009,6,KaranPrayag,uttarakhand_2009/A006.pdf
2009,41,Kotdwar,uttarakhand_2009/A041.pdf
2009,7,Kedarnath,uttarakhand_2009/A007.pdf
2009,42,Dharchula,uttarakhand_2009/A042.pdf
2009,8,Rudraprayag,uttarakhand_2009/A008.pdf
2009,43,Didihaat,uttarakhand_2009/A043.pdf
2009,9,Ghansali(SC),uttarakhand_2009/A009.pdf
2009,44,Pithoragarh,uttarakhand_2009/A044.pdf
2009,10,Devprayag,uttarakhand_2009/A010.pdf
2009,45,Gangolihat(SC),uttarakhand_2009/A045.pdf
2009,11,Narendernagar,uttarakhand_2009/A011.pdf
2009,46,Kapkot,uttarakhand_2009/A046.pdf
2009,12,Pratapnagar,uttarakhand_2009/A012.pdf
2009,47,Bageshwar(SC),uttarakhand_2009/A047.pdf
2009,13,Tehri,uttarakhand_2009/A013.pdf
2009,48,Dwarahat,uttarakhand_2009/A048.pdf
2009,14,Dhanaulti,uttarakhand_2009/A014.pdf
2009,49, Sult,uttarakhand_2009/A049.pdf
2009,15,Chakrata(ST),uttarakhand_2009/A015.pdf
2009,50,Ranikhet,uttarakhand_2009/A050.pdf
2009,16,Vikasnagar,uttarakhand_2009/A016.pdf
2009,51,Someshwar(SC),uttarakhand_2009/A051.pdf
2009,17,Sahaspur,uttarakhand_2009/A017.pdf
2009,52,Almora,uttarakhand_2009/A052.pdf
2009,18,Dharmpur,uttarakhand_2009/A018.pdf
2009,53,Jageshwar,uttarakhand_2009/A053.pdf
2009,19,Raipur,uttarakhand_2009/A019.pdf
2009,54,Lohaghat,uttarakhand_2009/A054.pdf
2009,20,Rajpur Road(SC),uttarakhand_2009/A020.pdf
2009,55,Champawat,uttarakhand_2009/A055.pdf
2009,21,Dehradun Cantt.,uttarakhand_2009/A021.pdf
2009,56,Lalkuan,uttarakhand_2009/A056.pdf
2009,22,Mussoorie,uttarakhand_2009/A022.pdf
2009,57,Bhimtal,uttarakhand_2009/A057.pdf
2009,23,Doiwala,uttarakhand_2009/A023.pdf
2009,58,Nainital(SC),uttarakhand_2009/A058.pdf
2009,24,Rishikesh,uttarakhand_2009/A024.pdf
2009,59,Haldwani,uttarakhand_2009/A059.pdf
2009,25,Haridwar,uttarakhand_2009/A025.pdf
2009,60,Kaladhungi,uttarakhand_2009/A060.pdf
2009,26,BHEL Ranipur,uttarakhand_2009/A026.pdf
2009,61,Ramnagar,uttarakhand_2009/A061.pdf
2009,27,Jwalapur(SC),uttarakhand_2009/A027.pdf
2009,62, Jaspur,uttarakhand_2009/A062.pdf
2009,28,Bhagwanpur(SC),uttarakhand_2009/A028.pdf
2009,63, Kashipur,uttarakhand_2009/A063.pdf
2009,29,Jhabreda(SC),uttarakhand_2009/A029.pdf
2009,64,Bajpur(SC),uttarakhand_2009/A064.pdf
2009,30,Peeran kalier,uttarakhand_2009/A030.pdf
2009,65,Gadarpur,uttarakhand_2009/A065.pdf
2009,31,Roorkee,uttarakhand_2009/A031.pdf
2009,66,Rudrapur,uttarakhand_2009/A066.pdf
2009,32,Khanpur,uttarakhand_2009/A032.pdf
2009,67,Kichha,uttarakhand_2009/A067.pdf
2009,33,Manglore,uttarakhand_2009/A033.pdf
2009,68,Sitarganj,uttarakhand_2009/A068.pdf
2009,34,Laksar,uttarakhand_2009/A034.pdf
2009,69,Nanakmatta(ST),uttarakhand_2009/A069.pdf
2009,35,Haridwar Rural,uttarakhand_2009/A035.pdf
2009,70,Khatima,uttarakhand_2009/A070.pdf
