year,ac_no,ac_name,file_name
2016,1,Purola (SC),uttarakhand_2016/A001.pdf
2016,36,Yamkeshwar,uttarakhand_2016/A036.pdf
2016,2,Yamunotri,uttarakhand_2016/A002.pdf
2016,37,Pauri(SC),uttarakhand_2016/A037.pdf
2016,3,Gangotri,uttarakhand_2016/A003.pdf
2016,38,Srinagar,uttarakhand_2016/A038.pdf
2016,4,Badrinath,uttarakhand_2016/A004.pdf
2016,39,Chaubatakhal,uttarakhand_2016/A039.pdf
2016,5,Tharali(SC),uttarakhand_2016/A005.pdf
2016,40,Lansdown,uttarakhand_2016/A040.pdf
2016,6,KaranPrayag,uttarakhand_2016/A006.pdf
2016,41,Kotdwar,uttarakhand_2016/A041.pdf
2016,7,Kedarnath,uttarakhand_2016/A007.pdf
2016,42,Dharchula,uttarakhand_2016/A042.pdf
2016,8,Rudraprayag,uttarakhand_2016/A008.pdf
2016,43,Didihaat,uttarakhand_2016/A043.pdf
2016,9,Ghansali(SC),uttarakhand_2016/A009.pdf
2016,44,Pithoragarh,uttarakhand_2016/A044.pdf
2016,10,Devprayag,uttarakhand_2016/A010.pdf
2016,45,Gangolihat(SC),uttarakhand_2016/A045.pdf
2016,11,Narendernagar,uttarakhand_2016/A011.pdf
2016,46,Kapkot,uttarakhand_2016/A046.pdf
2016,12,Pratapnagar,uttarakhand_2016/A012.pdf
2016,47,Bageshwar(SC),uttarakhand_2016/A047.pdf
2016,13,Tehri,uttarakhand_2016/A013.pdf
2016,48,Dwarahat,uttarakhand_2016/A048.pdf
2016,14,Dhanaulti,uttarakhand_2016/A014.pdf
2016,49, Sult,uttarakhand_2016/A049.pdf
2016,15,Chakrata(ST),uttarakhand_2016/A015.pdf
2016,50,Ranikhet,uttarakhand_2016/A050.pdf
2016,16,Vikasnagar,uttarakhand_2016/A016.pdf
2016,51,Someshwar(SC),uttarakhand_2016/A051.pdf
2016,17,Sahaspur,uttarakhand_2016/A017.pdf
2016,52,Almora,uttarakhand_2016/A052.pdf
2016,18,Dharmpur,uttarakhand_2016/A018.pdf
2016,53,Jageshwar,uttarakhand_2016/A053.pdf
2016,19,Raipur,uttarakhand_2016/A019.pdf
2016,54,Lohaghat,uttarakhand_2016/A054.pdf
2016,20,Rajpur Road(SC),uttarakhand_2016/A020.pdf
2016,55,Champawat,uttarakhand_2016/A055.pdf
2016,21,Dehradun Cantt.,uttarakhand_2016/A021.pdf
2016,56,Lalkuan,uttarakhand_2016/A056.pdf
2016,22,Mussoorie,uttarakhand_2016/A022.pdf
2016,57,Bhimtal,uttarakhand_2016/A057.pdf
2016,23,Doiwala,uttarakhand_2016/A023.pdf
2016,58,Nainital(SC),uttarakhand_2016/A058.pdf
2016,24,Rishikesh,uttarakhand_2016/A024.pdf
2016,59,Haldwani,uttarakhand_2016/A059.pdf
2016,25,Haridwar,uttarakhand_2016/A025.pdf
2016,60,Kaladhungi,uttarakhand_2016/A060.pdf
2016,26,BHEL Ranipur,uttarakhand_2016/A026.pdf
2016,61,Ramnagar,uttarakhand_2016/A061.pdf
2016,27,Jwalapur(SC),uttarakhand_2016/A027.pdf
2016,62, Jaspur,uttarakhand_2016/A062.pdf
2016,28,Bhagwanpur(SC),uttarakhand_2016/A028.pdf
2016,63, Kashipur,uttarakhand_2016/A063.pdf
2016,29,Jhabreda(SC),uttarakhand_2016/A029.pdf
2016,64,Bajpur(SC),uttarakhand_2016/A064.pdf
2016,30,Peeran kalier,uttarakhand_2016/A030.pdf
2016,65,Gadarpur,uttarakhand_2016/A065.pdf
2016,31,Roorkee,uttarakhand_2016/A031.pdf
2016,66,Rudrapur,uttarakhand_2016/A066.pdf
2016,32,Khanpur,uttarakhand_2016/A032.pdf
2016,67,Kichha,uttarakhand_2016/A067.pdf
2016,33,Manglore,uttarakhand_2016/A033.pdf
2016,68,Sitarganj,uttarakhand_2016/A068.pdf
2016,34,Laksar,uttarakhand_2016/A034.pdf
2016,69,Nanakmatta(ST),uttarakhand_2016/A069.pdf
2016,35,Haridwar Rural,uttarakhand_2016/A035.pdf
2016,70,Khatima,uttarakhand_2016/A070.pdf
