ac_number,ac_name,part_number,station_name,file_name
02,YANGTHANG,5,GOVT. SR. SEC SCHOOL PELLING ROOM II,sikkim_pdfs/02_005.pdf
02,YANGTHANG,6,"GOVT. JR. HIGH SCHOOL, PELLING CHUMBONG",sikkim_pdfs/02_006.pdf
02,YANGTHANG,7,"GOVT. GYALSHING GIRL SR. SEC. SCHOOL, KYONGSA ROOM NO. I",sikkim_pdfs/02_007.pdf
02,YANGTHANG,8,GOVT. PRY. SCHOOL TIKJECK,sikkim_pdfs/02_008.pdf
02,YANGTHANG,9,"GOVT. SEC. SCHOOL, LANGANG ROOM NO. I",sikkim_pdfs/02_009.pdf
02,YANGTHANG,10,"GOVT. SEC. SCHOOL, LANGANG ROOM NO. II",sikkim_pdfs/02_010.pdf
02,YANGTHANG,11,"GOVT. PRY. SCHOOL, YANGTEY",sikkim_pdfs/02_011.pdf
02,YANGTHANG,12,"GOVT. SEC. SCHOOL, SAKYONG ROOM NO. I",sikkim_pdfs/02_012.pdf
02,YANGTHANG,13,"GOVT. SEC. SCHOOL, SAKYONG ROOM NO. II",sikkim_pdfs/02_013.pdf
02,YANGTHANG,14,"GOVT. SEC. SCHOOL, LINGCHOM ROOM NO. I",sikkim_pdfs/02_014.pdf
02,YANGTHANG,15,"GOVT. SEC. SCHOOL, LINGCHOM ROOM NO. II",sikkim_pdfs/02_015.pdf
02,YANGTHANG,16,"GOVT. GYALSHING GIRL SR. SEC. SCHOOL, KYONGSA ROOM NO. II",sikkim_pdfs/02_016.pdf
03,MANEYBONG DENTAM,1,"GOVT. JR. HIGH SCHOOL, BEGHA ROOM NO. I",sikkim_pdfs/03_001.pdf
03,MANEYBONG DENTAM,2,"GOVT. JR. HIGH SCHOOL, BEGHA ROOM NO. II",sikkim_pdfs/03_002.pdf
03,MANEYBONG DENTAM,3,"GOVT. SR. SEC SCHOOL, MANGMOO DENTAM",sikkim_pdfs/03_003.pdf
03,MANEYBONG DENTAM,4,GOVT. SEC SCHOOL MUKRUNG,sikkim_pdfs/03_004.pdf
03,MANEYBONG DENTAM,5,GOVT. SEC SCHOOL UTTAREY ROOM NO. I,sikkim_pdfs/03_005.pdf
03,MANEYBONG DENTAM,6,GOVT. SEC SCHOOL UTTAREY ROOM NO. II,sikkim_pdfs/03_006.pdf
03,MANEYBONG DENTAM,7,"GOVT. PRY. SCHOOL, SOM BUSTY",sikkim_pdfs/03_007.pdf
03,MANEYBONG DENTAM,8,"GOVT. PRY. SCHOOL, GITANG",sikkim_pdfs/03_008.pdf
03,MANEYBONG DENTAM,9,"GOVT. PRY. SCHOOL, SAPONG",sikkim_pdfs/03_009.pdf
03,MANEYBONG DENTAM,10,"GOVT. JHS, BONGTEN",sikkim_pdfs/03_010.pdf
03,MANEYBONG DENTAM,11,"GOVT. PRY. SCHOOL, BHALUKHOP",sikkim_pdfs/03_011.pdf
03,MANEYBONG DENTAM,12,"GOVT. SEC. SCHOOL, KHANDU ROOM NO. I",sikkim_pdfs/03_012.pdf
03,MANEYBONG DENTAM,13,GOVT. PRY. SCHOOL KHANDU ROOM NO. II,sikkim_pdfs/03_013.pdf
03,MANEYBONG DENTAM,14,GOVT. PRY. SCHOOL SANKHU,sikkim_pdfs/03_014.pdf
