ac_number,ac_name,part_no,ps_name,lang,roll_type,expected_size_mb,filename,raw_bytes,compressed_bytes,pages,status
1,Khundrakpam,1,1 - Matakhong,ENG,final,3.3,AC01_part001_final_ENG.pdf,,2355049,,done
1,Khundrakpam,1,1 - Matakhong,BEN,final,3.57,AC01_part001_final_BEN.pdf,,2394421,,done
1,Khundrakpam,2,2 - Hangoipat (A),ENG,final,3.3,AC01_part002_final_ENG.pdf,,2404509,,done
1,Khundrakpam,2,2 - Hangoipat (A),BEN,final,3.56,AC01_part002_final_BEN.pdf,,2434482,,done
1,Khundrakpam,3,3 - Hangoipat (B),ENG,final,3.58,AC01_part003_final_ENG.pdf,,2586148,,done
1,Khundrakpam,3,3 - Hangoipat (B),BEN,final,3.89,AC01_part003_final_BEN.pdf,,2644290,,done
1,Khundrakpam,4,4 - Ikou,ENG,final,4.22,AC01_part004_final_ENG.pdf,,3085329,,done
1,Khundrakpam,4,4 - Ikou,BEN,final,4.61,AC01_part004_final_BEN.pdf,,3160608,,done
1,Khundrakpam,5,5 - Sadu Yengkhuman,ENG,final,4.35,AC01_part005_final_ENG.pdf,,3170361,,done
1,Khundrakpam,5,5 - Sadu Yengkhuman,BEN,final,4.76,AC01_part005_final_BEN.pdf,,3248946,,done
1,Khundrakpam,6,6 - Leitanpokpi,ENG,final,9.75,AC01_part006_final_ENG.pdf,,7589761,,done
1,Khundrakpam,6,6 - Leitanpokpi,BEN,final,10.79,AC01_part006_final_BEN.pdf,,7826804,,done
1,Khundrakpam,7,7 - Pukhao Terapur,ENG,final,6.86,AC01_part007_final_ENG.pdf,,5291330,,done
1,Khundrakpam,7,7 - Pukhao Terapur,BEN,final,7.58,AC01_part007_final_BEN.pdf,,5441890,,done
1,Khundrakpam,8,8 - Pukhao Naharup,ENG,final,6.53,AC01_part008_final_ENG.pdf,,5025284,,done
1,Khundrakpam,8,8 - Pukhao Naharup,BEN,final,7.25,AC01_part008_final_BEN.pdf,,5188403,,done
1,Khundrakpam,9,9 - Pukhao Khabam,ENG,final,6.29,AC01_part009_final_ENG.pdf,,4838788,,done
1,Khundrakpam,9,9 - Pukhao Khabam,BEN,final,6.98,AC01_part009_final_BEN.pdf,,4983481,,done
1,Khundrakpam,10,10 - Pukhao Laipham,ENG,final,5.58,AC01_part010_final_ENG.pdf,,4173251,,done
1,Khundrakpam,10,10 - Pukhao Laipham,BEN,final,6.14,AC01_part010_final_BEN.pdf,,4285365,,done
1,Khundrakpam,11,11 - Khewa Company,ENG,final,5.63,AC01_part011_final_ENG.pdf,,4246618,,done
1,Khundrakpam,11,11 - Khewa Company,BEN,final,6.22,AC01_part011_final_BEN.pdf,,4376131,,done
1,Khundrakpam,12,12 - Sagolmang,ENG,final,5.38,AC01_part012_final_ENG.pdf,,4079793,,done
1,Khundrakpam,12,12 - Sagolmang,BEN,final,5.96,AC01_part012_final_BEN.pdf,,4210581,,done
1,Khundrakpam,13,13 - Yumnam Patlou,ENG,final,6.83,AC01_part013_final_ENG.pdf,,5226748,,done
1,Khundrakpam,13,13 - Yumnam Patlou,BEN,final,7.53,AC01_part013_final_BEN.pdf,,5363893,,done
1,Khundrakpam,14,14 - Sinam,ENG,final,6.15,AC01_part014_final_ENG.pdf,,4667204,,done
1,Khundrakpam,14,14 - Sinam,BEN,final,6.79,AC01_part014_final_BEN.pdf,,4798958,,done
1,Khundrakpam,15,15 - Yumnam Khunou (A),ENG,final,7.63,AC01_part015_final_ENG.pdf,,5897970,,done
1,Khundrakpam,15,15 - Yumnam Khunou (A),BEN,final,8.53,AC01_part015_final_BEN.pdf,,6103976,,done
1,Khundrakpam,16,16 - Yumnam Khunou (B),ENG,final,6.42,AC01_part016_final_ENG.pdf,,5318483,,done
1,Khundrakpam,16,16 - Yumnam Khunou (B),BEN,final,7.16,AC01_part016_final_BEN.pdf,,5463725,,done
1,Khundrakpam,17,17 - Haraorou,ENG,final,9.15,AC01_part017_final_ENG.pdf,,7068435,,done
1,Khundrakpam,17,17 - Haraorou,BEN,final,10.16,AC01_part017_final_BEN.pdf,,7289711,,done
1,Khundrakpam,18,18 - Shambei,ENG,final,5.2,AC01_part018_final_ENG.pdf,,3864052,,done
1,Khundrakpam,18,18 - Shambei,BEN,final,5.71,AC01_part018_final_BEN.pdf,,3970635,,done
1,Khundrakpam,19,19 - Tangkham,ENG,final,9.48,AC01_part019_final_ENG.pdf,,7364484,,done
1,Khundrakpam,19,19 - Tangkham,BEN,final,10.47,AC01_part019_final_BEN.pdf,,7574973,,done
1,Khundrakpam,20,20 - Chingkhu,ENG,final,5.22,AC01_part020_final_ENG.pdf,,3952654,,done
