district_name,ac_no,ac_name,part_no,polling_station_name,filename
COOCHBEHAR,7,Dinhata,230,Chaupathi  High School (Bhetaguri),wb_pdfs/draft_rolls/a0070230.pdf
PURBA BARDHAMAN,265,Memari,70,punnyagram jr high school,wb_pdfs/draft_rolls/a2650070.pdf
PURBA BARDHAMAN,265,Memari,71,Bagagadiya Prathamik Bidyalay,wb_pdfs/draft_rolls/a2650071.pdf
PURBA BARDHAMAN,265,Memari,72,Debipur Aadarsh Haiskul,wb_pdfs/draft_rolls/a2650072.pdf
PURBA BARDHAMAN,265,Memari,73,Chhoto Dhamas F.P School,wb_pdfs/draft_rolls/a2650073.pdf
PURBA BARDHAMAN,265,Memari,74,Debipur Aadarsh Haiskul,wb_pdfs/draft_rolls/a2650074.pdf
PURBA BARDHAMAN,265,Memari,75,Debipur Aadarsh Haiskul,wb_pdfs/draft_rolls/a2650075.pdf
PURBA BARDHAMAN,265,Memari,76,Nishiragad Ah Primary School,wb_pdfs/draft_rolls/a2650076.pdf
PURBA BARDHAMAN,265,Memari,77,Nishiragad Ah Primary School,wb_pdfs/draft_rolls/a2650077.pdf
PURBA BARDHAMAN,265,Memari,78,Mobarakapur Bibekanand Primary Bidyapith,wb_pdfs/draft_rolls/a2650078.pdf
PURBA BARDHAMAN,265,Memari,79,Mobarakapur Bibekanand Primary Bidyapith,wb_pdfs/draft_rolls/a2650079.pdf
PURBA BARDHAMAN,265,Memari,80,Debipur Steshanabajar Ah Primaryskul,wb_pdfs/draft_rolls/a2650080.pdf
PURBA BARDHAMAN,265,Memari,81,Debipur Steshanabajar Ah Primaryskul,wb_pdfs/draft_rolls/a2650081.pdf
PURBA BARDHAMAN,265,Memari,82,58-Maheshapur Abaitanik Prathamik Bidyalay,wb_pdfs/draft_rolls/a2650082.pdf
PURBA BARDHAMAN,265,Memari,83,"59-Aamudapur Ef,Pi,School",wb_pdfs/draft_rolls/a2650083.pdf
PURBA BARDHAMAN,265,Memari,84,60-Hetamapur Abaih Prathamik Bidyalay,wb_pdfs/draft_rolls/a2650084.pdf
PURBA BARDHAMAN,265,Memari,85,Shankarapur Magara Ah Primary School,wb_pdfs/draft_rolls/a2650085.pdf
PURBA BARDHAMAN,265,Memari,86,Shankarapur Magara Ah Primary School,wb_pdfs/draft_rolls/a2650086.pdf
PURBA BARDHAMAN,265,Memari,87,Mogra SSK,wb_pdfs/draft_rolls/a2650087.pdf
PURBA BARDHAMAN,265,Memari,88,"62-Magada Panchakheya Aadibasi Ef,Pi, School",wb_pdfs/draft_rolls/a2650088.pdf
PURBA BARDHAMAN,265,Memari,89,shriharipur Abaitanik Primary School,wb_pdfs/draft_rolls/a2650089.pdf
PURBA BARDHAMAN,265,Memari,90,64-Mandalajona Abaihprah Bidyalay,wb_pdfs/draft_rolls/a2650090.pdf
PURBA BARDHAMAN,265,Memari,91,Kashirampur Primary Vidyalya,wb_pdfs/draft_rolls/a2650091.pdf
PURBA BARDHAMAN,265,Memari,92,Sajina Jayaramapur Prathamik Bidyalay,wb_pdfs/draft_rolls/a2650092.pdf
PURBA BARDHAMAN,265,Memari,93,Ichchhapur Baje Mandalajona Prathamik Bidyalay,wb_pdfs/draft_rolls/a2650093.pdf
PURBA BARDHAMAN,265,Memari,94,Aandur Bahabapur Ah Primary Bidyalay,wb_pdfs/draft_rolls/a2650094.pdf
PURBA BARDHAMAN,265,Memari,95,Aandur Bahabapur Ah Primary Bidyalay,wb_pdfs/draft_rolls/a2650095.pdf
