language,district_number,district_name,ac_number,ac_name,ps_number,ps_name,filename
English,7,7   - LEH,47,47-NUBRA,1,1  -THANG,EACA047PS0001.pdf
English,7,7   - LEH,47,47-NUBRA,2,2  -TYAKSHI,EACA047PS0002.pdf
English,7,7   - LEH,47,47-NUBRA,3,3  -WAHA PACHATHANG,EACA047PS0003.pdf
English,7,7   - LEH,47,47-NUBRA,4,4  -TURTUK FAROL,EACA047PS0004.pdf
English,7,7   - LEH,47,47-NUBRA,5,5  -TURTUK YOUL,EACA047PS0005.pdf
English,7,7   - LEH,47,47-NUBRA,6,6  -GARARI,EACA047PS0006.pdf
English,7,7   - LEH,47,47-NUBRA,7,7  -CHULUNGKHA,EACA047PS0007.pdf
English,7,7   - LEH,47,47-NUBRA,8,8  -BOGDANG,EACA047PS0008.pdf
English,7,7   - LEH,47,47-NUBRA,9,9  -B. SKILKHOR,EACA047PS0009.pdf
English,7,7   - LEH,47,47-NUBRA,10,10 -CHAGMAR,EACA047PS0010.pdf
English,7,7   - LEH,47,47-NUBRA,11,11 -WARIS,EACA047PS0011.pdf
English,7,7   - LEH,47,47-NUBRA,12,12 -FASTAN,EACA047PS0012.pdf
English,7,7   - LEH,47,47-NUBRA,13,13 -SUNUDO,EACA047PS0013.pdf
English,7,7   - LEH,47,47-NUBRA,14,14 -LARGYAB GONGMA,EACA047PS0014.pdf
English,7,7   - LEH,47,47-NUBRA,15,15 -LARGYAB YOKMA,EACA047PS0015.pdf
English,7,7   - LEH,47,47-NUBRA,16,16 -PACHATHANG,EACA047PS0016.pdf
English,7,7   - LEH,47,47-NUBRA,17,17 -TERCHEY,EACA047PS0017.pdf
English,7,7   - LEH,47,47-NUBRA,18,18 -SKUROO,EACA047PS0018.pdf
English,7,7   - LEH,47,47-NUBRA,19,19 -RAKURU,EACA047PS0019.pdf
English,7,7   - LEH,47,47-NUBRA,20,20 -UDMAROO,EACA047PS0020.pdf
English,7,7   - LEH,47,47-NUBRA,21,21 -SHUKUR,EACA047PS0021.pdf
English,7,7   - LEH,47,47-NUBRA,22,22 -HUNDIRI,EACA047PS0022.pdf
English,7,7   - LEH,47,47-NUBRA,23,23 -HUNDER,EACA047PS0023.pdf
English,7,7   - LEH,47,47-NUBRA,24,24 -AWAKSHA,EACA047PS0024.pdf
English,7,7   - LEH,47,47-NUBRA,25,25 -HUNDER DOK,EACA047PS0025.pdf
English,7,7   - LEH,47,47-NUBRA,26,26 -SKAMPUK,EACA047PS0026.pdf
English,7,7   - LEH,47,47-NUBRA,27,27 -PARTAPUR,EACA047PS0027.pdf
English,7,7   - LEH,47,47-NUBRA,28,28 -DISKIT,EACA047PS0028.pdf
English,7,7   - LEH,47,47-NUBRA,29,29 -DISKIT A,EACA047PS0029.pdf
English,7,7   - LEH,47,47-NUBRA,30,30 -BURMA,EACA047PS0030.pdf
English,7,7   - LEH,47,47-NUBRA,31,31 -CHARASA,EACA047PS0031.pdf
English,7,7   - LEH,47,47-NUBRA,32,32 -KURI,UACA047PS0032.pdf
English,7,7   - LEH,47,47-NUBRA,33,33 -MURGI,UACA047PS0033.pdf
English,7,7   - LEH,47,47-NUBRA,34,34 -TONGSTATE,UACA047PS0034.pdf
English,7,7   - LEH,47,47-NUBRA,35,35 -WASHI,UACA047PS0035.pdf
English,7,7   - LEH,47,47-NUBRA,36,36 -HENACHAY,UACA047PS0036.pdf
English,7,7   - LEH,47,47-NUBRA,37,37 -CHANGLUNG,UACA047PS0037.pdf
English,7,7   - LEH,47,47-NUBRA,38,38 -NONGSTATE,EACA047PS0038.pdf
English,7,7   - LEH,47,47-NUBRA,39,39 -KHEMI,EACA047PS0039.pdf
English,7,7   - LEH,47,47-NUBRA,40,40 -GONBO,EACA047PS0040.pdf
English,7,7   - LEH,47,47-NUBRA,41,41 -KUBED,EACA047PS0041.pdf
English,7,7   - LEH,47,47-NUBRA,42,42 -AYEE,EACA047PS0042.pdf
English,7,7   - LEH,47,47-NUBRA,43,43 -TAKSHA,EACA047PS0043.pdf
English,7,7   - LEH,47,47-NUBRA,44,44 -HARGYAM,EACA047PS0044.pdf
English,7,7   - LEH,47,47-NUBRA,45,45 -SASOMA,EACA047PS0045.pdf
English,7,7   - LEH,47,47-NUBRA,46,46 -ARANOO,EACA047PS0046.pdf
English,7,7   - LEH,47,47-NUBRA,47,47 -ARANOO YOKMA,EACA047PS0047.pdf
English,7,7   - LEH,47,47-NUBRA,48,48 -PANAMIK,EACA047PS0048.pdf
English,7,7   - LEH,47,47-NUBRA,49,49 -PHUKPOCHEY,EACA047PS0049.pdf
English,7,7   - LEH,47,47-NUBRA,50,50 -TERISHA,EACA047PS0050.pdf
English,7,7   - LEH,47,47-NUBRA,51,51 -CHAMSHEN,EACA047PS0051.pdf
English,7,7   - LEH,47,47-NUBRA,52,52 -YOULKAM,EACA047PS0052.pdf
English,7,7   - LEH,47,47-NUBRA,53,53 -TEGAR,EACA047PS0053.pdf
English,7,7   - LEH,47,47-NUBRA,54,54 -PINCHIMIK,EACA047PS0054.pdf
English,7,7   - LEH,47,47-NUBRA,55,55 -SUMOOR,EACA047PS0055.pdf
English,7,7   - LEH,47,47-NUBRA,56,56 -LAKJUNG,EACA047PS0056.pdf
English,7,7   - LEH,47,47-NUBRA,57,57 -TIRITH,EACA047PS0057.pdf
English,7,7   - LEH,47,47-NUBRA,58,58 -TSATI,EACA047PS0058.pdf
English,7,7   - LEH,47,47-NUBRA,59,59 -RONGDO,EACA047PS0059.pdf
English,7,7   - LEH,47,47-NUBRA,60,60 -KHALSAR,EACA047PS0060.pdf
English,7,7   - LEH,47,47-NUBRA,61,61 -KHARDONG,EACA047PS0061.pdf
English,7,7   - LEH,47,47-NUBRA,62,62 -KHARDONG FARKA,EACA047PS0062.pdf
English,7,7   - LEH,47,47-NUBRA,63,63 -KHARDONG RASERMO,EACA047PS0063.pdf
English,7,7   - LEH,47,47-NUBRA,64,64 -RONGJUK,EACA047PS0064.pdf
English,7,7   - LEH,47,47-NUBRA,65,65 -DIGGER,EACA047PS0065.pdf
English,7,7   - LEH,47,47-NUBRA,66,66 -TANGYAR,EACA047PS0066.pdf
English,7,7   - LEH,47,47-NUBRA,67,67 -KHEMA,EACA047PS0067.pdf
English,7,7   - LEH,47,47-NUBRA,68,68 -KHUNGROO,EACA047PS0068.pdf
English,7,7   - LEH,47,47-NUBRA,69,69 -AGYAM,EACA047PS0069.pdf
English,7,7   - LEH,48,48-LEH,1,1  -SHAYOK,EACA048PS0001.pdf
English,7,7   - LEH,48,48-LEH,2,2  -DURBUK,EACA048PS0002.pdf
English,7,7   - LEH,48,48-LEH,3,3  -NIMGO,EACA048PS0003.pdf
English,7,7   - LEH,48,48-LEH,4,4  -RALLY EACHING,EACA048PS0004.pdf
English,7,7   - LEH,48,48-LEH,5,5  -THARUK,EACA048PS0005.pdf
English,7,7   - LEH,48,48-LEH,6,6  -TANGTSE,EACA048PS0006.pdf
English,7,7   - LEH,48,48-LEH,7,7  -MUKLAB,EACA048PS0007.pdf
English,7,7   - LEH,48,48-LEH,8,8  -SHACHUKUL,EACA048PS0008.pdf
English,7,7   - LEH,48,48-LEH,9,9  -CHILAM,EACA048PS0009.pdf
English,7,7   - LEH,48,48-LEH,10,10 -PHOBRANG,UACA048PS0010.pdf
English,7,7   - LEH,48,48-LEH,11,11 -URGO,UACA048PS0011.pdf
English,7,7   - LEH,48,48-LEH,12,12 -LUKUNG,UACA048PS0012.pdf
English,7,7   - LEH,48,48-LEH,13,13 -MAAN,UACA048PS0013.pdf
English,7,7   - LEH,48,48-LEH,14,14 -SPANGMIK,UACA048PS0014.pdf
English,7,7   - LEH,48,48-LEH,15,15 -MERAK,UACA048PS0015.pdf
English,7,7   - LEH,48,48-LEH,16,16 -KHAKTAD,UACA048PS0016.pdf
English,7,7   - LEH,48,48-LEH,17,17 -KARGYAM,UACA048PS0017.pdf
English,7,7   - LEH,48,48-LEH,18,18 -SATOO,UACA048PS0018.pdf
English,7,7   - LEH,48,48-LEH,19,19 -KHERAPULLU,UACA048PS0019.pdf
English,7,7   - LEH,48,48-LEH,20,20 -CHIBRA,UACA048PS0020.pdf
English,7,7   - LEH,48,48-LEH,21,21 -CHUSHUL,UACA048PS0021.pdf
English,7,7   - LEH,48,48-LEH,22,22 -TSAGA,UACA048PS0022.pdf
English,7,7   - LEH,48,48-LEH,23,23 -MUDH,UACA048PS0023.pdf
English,7,7   - LEH,48,48-LEH,24,24 -NYOMA,UACA048PS0024.pdf
English,7,7   - LEH,48,48-LEH,25,25 -NIDDER,UACA048PS0025.pdf
English,7,7   - LEH,48,48-LEH,26,26 -CHUMATHANG,UACA048PS0026.pdf
English,7,7   - LEH,48,48-LEH,27,27 -MAHE,UACA048PS0027.pdf
English,7,7   - LEH,48,48-LEH,28,28 -KOTSA,EACA048PS0028.pdf
English,7,7   - LEH,48,48-LEH,29,29 -SKIDMANG,EACA048PS0029.pdf
English,7,7   - LEH,48,48-LEH,30,30 -NEE,EACA048PS0030.pdf
English,7,7   - LEH,48,48-LEH,31,31 -KESAR,EACA048PS0031.pdf
English,7,7   - LEH,48,48-LEH,32,32 -SRIYUL,EACA048PS0032.pdf
English,7,7   - LEH,48,48-LEH,33,33 -KEREY,EACA048PS0033.pdf
English,7,7   - LEH,48,48-LEH,34,34 -KUNGYAM,EACA048PS0034.pdf
English,7,7   - LEH,48,48-LEH,35,35 -GAIK,EACA048PS0035.pdf
English,7,7   - LEH,48,48-LEH,36,36 -KHUMDOK,EACA048PS0036.pdf
English,7,7   - LEH,48,48-LEH,37,37 -TIRI,EACA048PS0037.pdf
English,7,7   - LEH,48,48-LEH,38,38 -TIRIDO,EACA048PS0038.pdf
English,7,7   - LEH,48,48-LEH,39,39 -HIMYA,EACA048PS0039.pdf
English,7,7   - LEH,48,48-LEH,40,40 -KHATPOO,EACA048PS0040.pdf
English,7,7   - LEH,48,48-LEH,41,41 -TARCHIT,EACA048PS0041.pdf
English,7,7   - LEH,48,48-LEH,42,42 -TUKLA,EACA048PS0042.pdf
English,7,7   - LEH,48,48-LEH,43,43 -TUKLA PHULAKS,EACA048PS0043.pdf
English,7,7   - LEH,48,48-LEH,44,44 -LIKTSE,EACA048PS0044.pdf
English,7,7   - LEH,48,48-LEH,45,45 -SHARA,EACA048PS0045.pdf
English,7,7   - LEH,48,48-LEH,46,46 -SHARNOS,EACA048PS0046.pdf
English,7,7   - LEH,48,48-LEH,47,47 -PHUKTSEY,EACA048PS0047.pdf
English,7,7   - LEH,48,48-LEH,48,48 -IGG,EACA048PS0048.pdf
English,7,7   - LEH,48,48-LEH,49,49 -NAKLEY LANKOR,EACA048PS0049.pdf
English,7,7   - LEH,48,48-LEH,50,50 -IGOO,EACA048PS0050.pdf
English,7,7   - LEH,48,48-LEH,51,51 -TAGAR,EACA048PS0051.pdf
English,7,7   - LEH,48,48-LEH,52,52 -SAKTI,EACA048PS0052.pdf
English,7,7   - LEH,48,48-LEH,53,53 -FARKHA YOKMA SAKTI,EACA048PS0053.pdf
English,7,7   - LEH,48,48-LEH,54,54 -TAKNAK,EACA048PS0054.pdf
English,7,7   - LEH,48,48-LEH,55,55 -TAKNAK PHU,EACA048PS0055.pdf
English,7,7   - LEH,48,48-LEH,56,56 -PIU,EACA048PS0056.pdf
English,7,7   - LEH,48,48-LEH,57,57 -CHEMRAY,EACA048PS0057.pdf
English,7,7   - LEH,48,48-LEH,58,58 -YOKNOS ,EACA048PS0058.pdf
English,7,7   - LEH,48,48-LEH,59,59 -KHARU,EACA048PS0059.pdf
English,7,7   - LEH,48,48-LEH,60,60 -NANG,EACA048PS0060.pdf
English,7,7   - LEH,48,48-LEH,61,61 -RAMBIRPUR,EACA048PS0061.pdf
English,7,7   - LEH,48,48-LEH,62,62 -THIKSAY A,EACA048PS0062.pdf
English,7,7   - LEH,48,48-LEH,63,63 -THIKSAY B,EACA048PS0063.pdf
English,7,7   - LEH,48,48-LEH,64,64 -STAKMO,EACA048PS0064.pdf
English,7,7   - LEH,48,48-LEH,65,65 -SHEY,EACA048PS0065.pdf
English,7,7   - LEH,48,48-LEH,66,66 -SHEY YOKNOS,EACA048PS0066.pdf
English,7,7   - LEH,48,48-LEH,67,67 -SABOO,EACA048PS0067.pdf
English,7,7   - LEH,48,48-LEH,68,68 -BALAM,EACA048PS0068.pdf
English,7,7   - LEH,48,48-LEH,69,69 -CHOGLAMSAR,EACA048PS0069.pdf
English,7,7   - LEH,48,48-LEH,70,70 -TASHI GYATSAL A,EACA048PS0070.pdf
English,7,7   - LEH,48,48-LEH,71,71 -SONAM BARMALING,EACA048PS0071.pdf
English,7,7   - LEH,48,48-LEH,72,72 -GYATSAL B,EACA048PS0072.pdf
English,7,7   - LEH,48,48-LEH,73,73 -KHARNAKLING,EACA048PS0073.pdf
English,7,7   - LEH,48,48-LEH,74,74 -GOMPA GANGLAS,EACA048PS0074.pdf
English,7,7   - LEH,48,48-LEH,75,75 -SANKAR YURTUNG,EACA048PS0075.pdf
English,7,7   - LEH,48,48-LEH,76,76 -SANKAR,EACA048PS0076.pdf
English,7,7   - LEH,48,48-LEH,77,77 -ZANGSTI GOKSOM,EACA048PS0077.pdf
English,7,7   - LEH,48,48-LEH,78,78 -CHANGSPA,EACA048PS0078.pdf
English,7,7   - LEH,48,48-LEH,79,79 -TUKCHA,EACA048PS0079.pdf
English,7,7   - LEH,48,48-LEH,80,80 -SKAYNOS A,EACA048PS0080.pdf
English,7,7   - LEH,48,48-LEH,81,81 -SKAMPARI A,EACA048PS0081.pdf
English,7,7   - LEH,48,48-LEH,82,82 -SKAMPARI B,EACA048PS0082.pdf
English,7,7   - LEH,48,48-LEH,83,83 -SKAYNOS B,EACA048PS0083.pdf
English,7,7   - LEH,48,48-LEH,84,84 -SKARA,EACA048PS0084.pdf
English,7,7   - LEH,48,48-LEH,85,85 -SKARA YOKMA,EACA048PS0085.pdf
English,7,7   - LEH,48,48-LEH,86,86 -SKALZANGLING A,EACA048PS0086.pdf
