ac_number,ac_name,poll_station_number,poll_station_name,language,relative_path
1,Khundrakpam,1/01,Matakhong,English,manipur_pdfs/english/A0010001.pdf
1,Khundrakpam,1/02,Hangoipat (A),English,manipur_pdfs/english/A0010002.pdf
1,Khundrakpam,1/03,Hangoipat (B),English,manipur_pdfs/english/A0010003.pdf
1,Khundrakpam,1/04,Ikou,English,manipur_pdfs/english/A0010004.pdf
1,Khundrakpam,1/05,Leitanpokpi,English,manipur_pdfs/english/A0010005.pdf
1,Khundrakpam,1/06,Pukhao Terapur,English,manipur_pdfs/english/A0010006.pdf
1,Khundrakpam,1/07,Pukhao Naharup,English,manipur_pdfs/english/A0010007.pdf
1,Khundrakpam,1/08,Pukhao Khabam,English,manipur_pdfs/english/A0010008.pdf
1,Khundrakpam,1/09,Pukhao Laipham,English,manipur_pdfs/english/A0010009.pdf
1,Khundrakpam,1/10,Khewa Company,English,manipur_pdfs/english/A0010010.pdf
1,Khundrakpam,1/11,Sagolmang,English,manipur_pdfs/english/A0010011.pdf
1,Khundrakpam,1/12,Yumnam Patlou,English,manipur_pdfs/english/A0010012.pdf
1,Khundrakpam,1/13,Yumnam Khunou (A),English,manipur_pdfs/english/A0010013.pdf
1,Khundrakpam,1/14,Yumnam Khunou (B),English,manipur_pdfs/english/A0010014.pdf
1,Khundrakpam,1/15,Haraorou,English,manipur_pdfs/english/A0010015.pdf
1,Khundrakpam,1/16,Shambei,English,manipur_pdfs/english/A0010016.pdf
1,Khundrakpam,1/17,Tangkham,English,manipur_pdfs/english/A0010017.pdf
1,Khundrakpam,1/18,Chingkhu,English,manipur_pdfs/english/A0010018.pdf
1,Khundrakpam,1/19,Sarouthel,English,manipur_pdfs/english/A0010019.pdf
1,Khundrakpam,1/20,Khundrakpam Awang Leikai,English,manipur_pdfs/english/A0010020.pdf
1,Khundrakpam,1/21,Khundrakpam,English,manipur_pdfs/english/A0010021.pdf
1,Khundrakpam,1/22,Khundrakpam Makha Leikai,English,manipur_pdfs/english/A0010022.pdf
1,Khundrakpam,1/23,Khundrakpam Maning Leikai,English,manipur_pdfs/english/A0010023.pdf
1,Khundrakpam,1/24,Pangei Yangdong(A),English,manipur_pdfs/english/A0010024.pdf
1,Khundrakpam,1/25,Pangei Yangdong(B),English,manipur_pdfs/english/A0010025.pdf
1,Khundrakpam,1/26,Pangei Meiteikhul,English,manipur_pdfs/english/A0010026.pdf
1,Khundrakpam,1/27,Uyumpok,English,manipur_pdfs/english/A0010027.pdf
1,Khundrakpam,1/28,Wakhong,English,manipur_pdfs/english/A0010028.pdf
1,Khundrakpam,1/29,Uyumpok Terapur,English,manipur_pdfs/english/A0010029.pdf
1,Khundrakpam,1/30,Tiger Camp,English,manipur_pdfs/english/A0010030.pdf
1,Khundrakpam,1/31,Keibi Taret Khul(A),English,manipur_pdfs/english/A0010031.pdf
1,Khundrakpam,1/32,Chanung,English,manipur_pdfs/english/A0010032.pdf
1,Khundrakpam,1/33,Keibi Taret Khul(B),English,manipur_pdfs/english/A0010033.pdf
1,Khundrakpam,1/34,Keibi (A),English,manipur_pdfs/english/A0010034.pdf
1,Khundrakpam,1/35,Keibi Heikak Mapal,English,manipur_pdfs/english/A0010035.pdf
1,Khundrakpam,1/36,Waiton Makha Leikai,English,manipur_pdfs/english/A0010036.pdf
1,Khundrakpam,1/37,Waiton Awang Leikai,English,manipur_pdfs/english/A0010037.pdf
1,Khundrakpam,1/38,Chingarel Tejpur,English,manipur_pdfs/english/A0010038.pdf
1,Khundrakpam,1/39,Pourabi,English,manipur_pdfs/english/A0010039.pdf
1,Khundrakpam,1/40,Wairi,English,manipur_pdfs/english/A0010040.pdf
2,Heingang,2/01,Awang Potsangbam Khunou Maning Leikai,English,manipur_pdfs/english/A0020001.pdf
2,Heingang,2/02,Awang Potsangbam Khunou Mamang Leikai,English,manipur_pdfs/english/A0020002.pdf
2,Heingang,2/03,Keikol,English,manipur_pdfs/english/A0020003.pdf
2,Heingang,2/04,Nilkuthi,English,manipur_pdfs/english/A0020004.pdf
2,Heingang,2/05,Koirengei,English,manipur_pdfs/english/A0020005.pdf
2,Heingang,2/06,Maiba Khul,English,manipur_pdfs/english/A0020006.pdf
2,Heingang,2/07,Mongjam,English,manipur_pdfs/english/A0020007.pdf
2,Heingang,2/08,Achanbigei Awang Leikai,English,manipur_pdfs/english/A0020008.pdf
2,Heingang,2/09,Achanbigei Mayai Leikai,English,manipur_pdfs/english/A0020009.pdf
2,Heingang,2/10,Achanbigei Mayai Leikai,English,manipur_pdfs/english/A0020010.pdf
2,Heingang,2/11,Koirengei Bazar,English,manipur_pdfs/english/A0020011.pdf
2,Heingang,2/12,Luwangshangbam Makha Leikai,English,manipur_pdfs/english/A0020012.pdf
2,Heingang,2/13,Matai,English,manipur_pdfs/english/A0020013.pdf
2,Heingang,2/14,Koirengei Kabui Khul,English,manipur_pdfs/english/A0020014.pdf
2,Heingang,2/15,Luwangsangbam Awang Leikai,English,manipur_pdfs/english/A0020015.pdf
2,Heingang,2/16,Luwangsangbam Mamang Leikai,English,manipur_pdfs/english/A0020016.pdf
2,Heingang,2/17,Kontha Khabam,English,manipur_pdfs/english/A0020017.pdf
2,Heingang,2/18,Kontha Khabam Lamkhai,English,manipur_pdfs/english/A0020018.pdf
2,Heingang,2/19,Kontha Khabam Mamang Leikai,English,manipur_pdfs/english/A0020019.pdf
2,Heingang,2/20,Kontha Khabam Mayai Leikai,English,manipur_pdfs/english/A0020020.pdf
2,Heingang,2/21,Heingang Awang Leikai,English,manipur_pdfs/english/A0020021.pdf
2,Heingang,2/22,Heingang Awang Leikai Saya Lampak,English,manipur_pdfs/english/A0020022.pdf
2,Heingang,2/23,Heingang Mayai Leikai (A),English,manipur_pdfs/english/A0020023.pdf
2,Heingang,2/24,Heingang Mayai Leikai (B),English,manipur_pdfs/english/A0020024.pdf
2,Heingang,2/25,Heingang Makha Panthoibi Leikai,English,manipur_pdfs/english/A0020025.pdf
2,Heingang,2/26,Heingang Makha Leikai,English,manipur_pdfs/english/A0020026.pdf
2,Heingang,2/27,Kontha Ahallup Makha Leikai,English,manipur_pdfs/english/A0020027.pdf
2,Heingang,2/28,Kontha Ahallup Awang Leikai,English,manipur_pdfs/english/A0020028.pdf
2,Heingang,2/29,Kairang Meitei,English,manipur_pdfs/english/A0020029.pdf
2,Heingang,2/30,Kairang Muslim Awang Leikai,English,manipur_pdfs/english/A0020030.pdf
2,Heingang,2/31,Kairang Muslim Mayai Leikai,English,manipur_pdfs/english/A0020031.pdf
2,Heingang,2/32,Kairang Muslim Mamang Leikai,English,manipur_pdfs/english/A0020032.pdf
2,Heingang,2/33,Kairang Khunou Chingya Leikai,English,manipur_pdfs/english/A0020033.pdf
2,Heingang,2/34,Laipham Khunou Awang Leikai,English,manipur_pdfs/english/A0020034.pdf
2,Heingang,2/35,Laipham Khunou Maning Leikai,English,manipur_pdfs/english/A0020035.pdf
2,Heingang,2/36,Laipham Khunou Mamang Leikai,English,manipur_pdfs/english/A0020036.pdf
2,Heingang,2/37,Laipham Khunou Makha Leikai,English,manipur_pdfs/english/A0020037.pdf
2,Heingang,2/38,Laipham Khunou Nagaram,English,manipur_pdfs/english/A0020038.pdf
2,Heingang,2/39,Laipham Â Khunou Tangkhul Avenue,English,manipur_pdfs/english/A0020039.pdf
2,Heingang,2/40,Lairikyengbam Makha Leikai,English,manipur_pdfs/english/A0020040.pdf
2,Heingang,2/41,Lairikyengbam Mayai Leikai (A),English,manipur_pdfs/english/A0020041.pdf
2,Heingang,2/42,Lairikyengbam Mayai Leikai (B),English,manipur_pdfs/english/A0020042.pdf
2,Heingang,2/43,Lairikyengbam Awang Leikai,English,manipur_pdfs/english/A0020043.pdf
2,Heingang,2/44,Lamlongei,English,manipur_pdfs/english/A0020044.pdf
2,Heingang,2/45,Pantilong,English,manipur_pdfs/english/A0020045.pdf
3,Khurai,3/01,Khomidok (A),English,manipur_pdfs/english/A0030001.pdf
3,Khurai,3/02,Khomidok (A-1),English,manipur_pdfs/english/A0030002.pdf
3,Khurai,3/03,Khomidok (B),English,manipur_pdfs/english/A0030003.pdf
3,Khurai,3/04,Khomidok (B-1),English,manipur_pdfs/english/A0030004.pdf
3,Khurai,3/05,Khabeisoi (A),English,manipur_pdfs/english/A0030005.pdf
3,Khurai,3/06,Khabeisoi (B),English,manipur_pdfs/english/A0030006.pdf
3,Khurai,3/07,Sangomsang (A),English,manipur_pdfs/english/A0030007.pdf
3,Khurai,3/08,Sangomsang (B),English,manipur_pdfs/english/A0030008.pdf
3,Khurai,3/09,Phaknung,English,manipur_pdfs/english/A0030009.pdf
3,Khurai,3/10,Kangla Siphai,English,manipur_pdfs/english/A0030010.pdf
3,Khurai,3/11,Sajeb (A),English,manipur_pdfs/english/A0030011.pdf
3,Khurai,3/12,Sajeb (B),English,manipur_pdfs/english/A0030012.pdf
3,Khurai,3/13,Angom Leikai,English,manipur_pdfs/english/A0030013.pdf
3,Khurai,3/14,Moirang Kampu,English,manipur_pdfs/english/A0030014.pdf
3,Khurai,3/15,Khurai Konsam Leikai (A-I),English,manipur_pdfs/english/A0030015.pdf
3,Khurai,3/16,Khurai Konsam Leikai (A-II),English,manipur_pdfs/english/A0030016.pdf
3,Khurai,3/17,Khurai Konsam Leikai (B),English,manipur_pdfs/english/A0030017.pdf
3,Khurai,3/18,Khurai Konsam Leikai (C),English,manipur_pdfs/english/A0030018.pdf
3,Khurai,3/19,Kongpal Sajor Leikai (Awang),English,manipur_pdfs/english/A0030019.pdf
3,Khurai,3/20,Kongpal Sajor Leikai (Makha),English,manipur_pdfs/english/A0030020.pdf
3,Khurai,3/21,Khurai Sorokhaibam Leikai,English,manipur_pdfs/english/A0030021.pdf
3,Khurai,3/22,Khurai Sajor Leikai,English,manipur_pdfs/english/A0030022.pdf
3,Khurai,3/23,Khurai Sajor Leikai,English,manipur_pdfs/english/A0030023.pdf
3,Khurai,3/24,Khurai Sajor Leikai(B),English,manipur_pdfs/english/A0030024.pdf
3,Khurai,3/25,Khurai Sajor Leikai(B-1),English,manipur_pdfs/english/A0030025.pdf
3,Khurai,3/26,Khurai Nandeibamr Leikai(A),English,manipur_pdfs/english/A0030026.pdf
3,Khurai,3/27,Khurai Nandeibam Leikai,English,Not available / Unable to download
3,Khurai,3/28,Ningthoubung,English,manipur_pdfs/english/A0030028.pdf
3,Khurai,3/29,Khurai Laishram Leikai(B),English,manipur_pdfs/english/A0030029.pdf
3,Khurai,3/30,Ningthoubung,English,manipur_pdfs/english/A0030030.pdf
3,Khurai,3/31,Ningthoubung Khunou,English,manipur_pdfs/english/A0030031.pdf
3,Khurai,3/32,Khurai Kongpal Chingangbam Leikai,English,manipur_pdfs/english/A0030032.pdf
3,Khurai,3/33,Khurai Kongpal Chingangbam Leikai,English,manipur_pdfs/english/A0030033.pdf
3,Khurai,3/34,Khurai Kongpal Chingangbam Leikai(B),English,manipur_pdfs/english/A0030034.pdf
3,Khurai,3/35,Khurai Kongpal Chingangbam Leikai(B-1),English,manipur_pdfs/english/A0030035.pdf
3,Khurai,3/36,Khurai Chingangbam Leikai(C),English,manipur_pdfs/english/A0030036.pdf
3,Khurai,3/37,Khurai Chingangbam Leikai(D-1),English,manipur_pdfs/english/A0030037.pdf
3,Khurai,3/38,Khurai Chingangbam Leikai(D-2),English,manipur_pdfs/english/A0030038.pdf
3,Khurai,3/39,Khurai Kongkham Leikai(A),English,manipur_pdfs/english/A0030039.pdf
3,Khurai,3/40,Khurai Kongkham Leikai(B),English,manipur_pdfs/english/A0030040.pdf
3,Khurai,3/41,Khurai Kongkham Leikai(B-1),English,manipur_pdfs/english/A0030041.pdf
3,Khurai,3/42,Khurai Khongnangmakhong(A),English,manipur_pdfs/english/A0030042.pdf
3,Khurai,3/43,Khurai Khongnangmakhong(B),English,manipur_pdfs/english/A0030043.pdf
4,Kshetrigao,4/01,Porompat (A),English,manipur_pdfs/english/A0040001.pdf
4,Kshetrigao,4/02,Porompat (B),English,manipur_pdfs/english/A0040002.pdf
4,Kshetrigao,4/03,Porompat (C),English,manipur_pdfs/english/A0040003.pdf
4,Kshetrigao,4/04,Porompat (D),English,manipur_pdfs/english/A0040004.pdf
4,Kshetrigao,4/05,Kongba Laishram Leikai Makha,English,manipur_pdfs/english/A0040005.pdf
4,Kshetrigao,4/06,Kongba Laishram Leikai Awang,English,manipur_pdfs/english/A0040006.pdf
4,Kshetrigao,4/07,Gangapat (A),English,manipur_pdfs/english/A0040007.pdf
4,Kshetrigao,4/08,Gangapat (B),English,manipur_pdfs/english/A0040008.pdf
4,Kshetrigao,4/09,Thambalkhong Kongba Laishram Leikai,English,manipur_pdfs/english/A0040009.pdf
4,Kshetrigao,4/10,Kongba Chanam Leikai,English,manipur_pdfs/english/A0040010.pdf
4,Kshetrigao,4/11,Thambalkhong North,English,manipur_pdfs/english/A0040011.pdf
4,Kshetrigao,4/12,Thambalkhong sabal Leikai,English,manipur_pdfs/english/A0040012.pdf
4,Kshetrigao,4/13,Top Naoria (North A),English,manipur_pdfs/english/A0040013.pdf
4,Kshetrigao,4/14,Top Naoria (North B),English,manipur_pdfs/english/A0040014.pdf
4,Kshetrigao,4/15,Khaidem Leikai (South A),English,manipur_pdfs/english/A0040015.pdf
4,Kshetrigao,4/16,Khaidem Leikai (South B),English,manipur_pdfs/english/A0040016.pdf
4,Kshetrigao,4/17,Khaidem Leikai,English,manipur_pdfs/english/A0040017.pdf
4,Kshetrigao,4/18,Top Dusara Imphal (A),English,manipur_pdfs/english/A0040018.pdf
4,Kshetrigao,4/19,Top Dusara Imphal (B),English,manipur_pdfs/english/A0040019.pdf
4,Kshetrigao,4/20,Top Dusara Khabam (A),English,manipur_pdfs/english/A0040020.pdf
4,Kshetrigao,4/21,Top Dusara Khabam (B),English,manipur_pdfs/english/A0040021.pdf
4,Kshetrigao,4/22,Kshetri Bengoon (North A),English,manipur_pdfs/english/A0040022.pdf
4,Kshetrigao,4/23,Kshetri Bengoon (North B),English,manipur_pdfs/english/A0040023.pdf
4,Kshetrigao,4/24,Kshetri Bengoon (South A),English,manipur_pdfs/english/A0040024.pdf
4,Kshetrigao,4/25,Kshetri Bengoon (South B),English,manipur_pdfs/english/A0040025.pdf
4,Kshetrigao,4/26,Kshetrigao Awang Leikai (A),English,manipur_pdfs/english/A0040026.pdf
4,Kshetrigao,4/27,Kshetrigao Awang Leikai (B),English,manipur_pdfs/english/A0040027.pdf
4,Kshetrigao,4/28,Kshetrigao Makha Leikai (A),English,manipur_pdfs/english/A0040028.pdf
4,Kshetrigao,4/29,Kshetrigao Makha Leikai (B),English,manipur_pdfs/english/A0040029.pdf
4,Kshetrigao,4/30,Kshetrigao Awang Sabal Leikai (A),English,manipur_pdfs/english/A0040030.pdf
4,Kshetrigao,4/31,Kshetrigao Awang Sabal Leikai (B),English,manipur_pdfs/english/A0040031.pdf
4,Kshetrigao,4/32,Kshetrigao Makha Leikai,English,manipur_pdfs/english/A0040032.pdf
4,Kshetrigao,4/33,Kshetrigao Awang Leikai,English,manipur_pdfs/english/A0040033.pdf
4,Kshetrigao,4/34,Kshetrigao,English,manipur_pdfs/english/A0040034.pdf
4,Kshetrigao,4/35,Keikhu Muslim Makha Leikai,English,manipur_pdfs/english/A0040035.pdf
4,Kshetrigao,4/36,Keikhu Kabui,English,manipur_pdfs/english/A0040036.pdf
4,Kshetrigao,4/37,Naharup (A),English,manipur_pdfs/english/A0040037.pdf
4,Kshetrigao,4/38,Naharup (B),English,manipur_pdfs/english/A0040038.pdf
4,Kshetrigao,4/39,Makhapat Khongjin Leikai,English,manipur_pdfs/english/A0040039.pdf
4,Kshetrigao,4/40,Makhapat Awang,English,manipur_pdfs/english/A0040040.pdf
4,Kshetrigao,4/41,Thangbrijou Awang Leikai,English,manipur_pdfs/english/A0040041.pdf
4,Kshetrigao,4/42,Thangbrijou Makha Leikai,English,manipur_pdfs/english/A0040042.pdf
4,Kshetrigao,4/43,Bamon Kampu (North A),English,manipur_pdfs/english/A0040043.pdf
4,Kshetrigao,4/44,Bamon Kampu (North B),English,manipur_pdfs/english/A0040044.pdf
4,Kshetrigao,4/45,Bamon Kampu (South West),English,manipur_pdfs/english/A0040045.pdf
4,Kshetrigao,4/46,Bamon Kampu (South West),English,manipur_pdfs/english/A0040046.pdf
5,Thongju,5/01,Thongju Lilando Lampak (A),English,manipur_pdfs/english/A0050001.pdf
5,Thongju,5/02,Thongju Lilando Lampak (B),English,manipur_pdfs/english/A0050002.pdf
5,Thongju,5/03,Thongju Ningomthong (A),English,manipur_pdfs/english/A0050003.pdf
5,Thongju,5/04,Thongju Ningomthong (B),English,manipur_pdfs/english/A0050004.pdf
5,Thongju,5/05,Thongju Naorem Leikai (A),English,manipur_pdfs/english/A0050005.pdf
5,Thongju,5/06,Thongju Naorem Leikai (B),English,manipur_pdfs/english/A0050006.pdf
5,Thongju,5/07,Thongju Pheijaleitong (A),English,manipur_pdfs/english/A0050007.pdf
5,Thongju,5/08,Thongju Pheijaleitong (B),English,manipur_pdfs/english/A0050008.pdf
5,Thongju,5/09,Pichu Lampak,English,manipur_pdfs/english/A0050009.pdf
5,Thongju,5/10,Thongju (B),English,manipur_pdfs/english/A0050010.pdf
5,Thongju,5/11,Konok Khongnangkhong,English,manipur_pdfs/english/A0050011.pdf
5,Thongju,5/12,Thongju Part-II Koirou,English,manipur_pdfs/english/A0050012.pdf
5,Thongju,5/13,Thongju Koirou,English,manipur_pdfs/english/A0050013.pdf
5,Thongju,5/14,Bashikhong Panthoibi Bazar,English,manipur_pdfs/english/A0050014.pdf
5,Thongju,5/15,Kongba Irong,English,manipur_pdfs/english/A0050015.pdf
5,Thongju,5/16,Bashikhong Bazar,English,manipur_pdfs/english/A0050016.pdf
5,Thongju,5/17,Bashikhong (B),English,manipur_pdfs/english/A0050017.pdf
5,Thongju,5/18,Kitana Panung (A),English,manipur_pdfs/english/A0050018.pdf
5,Thongju,5/19,Kitana Panung (B),English,manipur_pdfs/english/A0050019.pdf
5,Thongju,5/20,Kitana Panung,English,manipur_pdfs/english/A0050020.pdf
5,Thongju,5/21,Torban,English,manipur_pdfs/english/A0050021.pdf
5,Thongju,5/22,Mongkhanglambi,English,manipur_pdfs/english/A0050022.pdf
5,Thongju,5/23,Torban Pebia Pandit Leikai (B-1),English,manipur_pdfs/english/A0050023.pdf
5,Thongju,5/24,Torban (A),English,manipur_pdfs/english/A0050024.pdf
5,Thongju,5/25,Akampat,English,manipur_pdfs/english/A0050025.pdf
5,Thongju,5/26,Khongman Mangjil (A),English,manipur_pdfs/english/A0050026.pdf
5,Thongju,5/27,Khongman Mangjil (B),English,manipur_pdfs/english/A0050027.pdf
5,Thongju,5/28,Khongman Mayai Leikai Zone III (A),English,manipur_pdfs/english/A0050028.pdf
5,Thongju,5/29,Khongman Mayai Leikai Zone III,English,manipur_pdfs/english/A0050029.pdf
5,Thongju,5/30,Khongman,English,manipur_pdfs/english/A0050030.pdf
5,Thongju,5/31,Khongman Zone V (A),English,manipur_pdfs/english/A0050031.pdf
5,Thongju,5/32,Khongman Zone V (B),English,manipur_pdfs/english/A0050032.pdf
5,Thongju,5/33,Wangkhei Loumanbi (A),English,manipur_pdfs/english/A0050033.pdf
5,Thongju,5/34,Wangkhei Loumanbi (B),English,manipur_pdfs/english/A0050034.pdf
5,Thongju,5/35,Nandeibam Leikai (A),English,manipur_pdfs/english/A0050035.pdf
5,Thongju,5/36,Nandeibam Leikai (B),English,manipur_pdfs/english/A0050036.pdf
5,Thongju,5/37,Nandeibam Leikai (C),English,manipur_pdfs/english/A0050037.pdf
5,Thongju,5/38,Uchekon Kongba Kshetri Leikai (A),English,manipur_pdfs/english/A0050038.pdf
5,Thongju,5/39,Uchekon Kongba Kshetri Leikai (B),English,manipur_pdfs/english/A0050039.pdf
5,Thongju,5/40,Uchekon Torban (A),English,Not available / Unable to download
5,Thongju,5/41,Uchekon Torban (B),English,manipur_pdfs/english/A0050041.pdf
5,Thongju,5/42,Takhok Mapal (A),English,manipur_pdfs/english/A0050042.pdf
5,Thongju,5/43,Takhok Mapal (B),English,manipur_pdfs/english/A0050043.pdf
5,Thongju,5/44,Takhok Mapal (C),English,manipur_pdfs/english/A0050044.pdf
5,Thongju,5/45,Wangkhei Mapal Wangkhei Loumanbi,English,manipur_pdfs/english/A0050045.pdf
6,Keirao,6/01,Kiyamgei Maning Leikai (A),English,manipur_pdfs/english/A0060001.pdf
6,Keirao,6/02,Kiyamgei Maning Leikai (B),English,manipur_pdfs/english/A0060002.pdf
6,Keirao,6/03,Kiyamgei (B),English,manipur_pdfs/english/A0060003.pdf
6,Keirao,6/04,Kiyamgei (C-1),English,manipur_pdfs/english/A0060004.pdf
6,Keirao,6/05,Kyamgei Khoirom Leikai,English,manipur_pdfs/english/A0060005.pdf
6,Keirao,6/06,Kiyamgei Mamang Leikai,English,manipur_pdfs/english/A0060006.pdf
6,Keirao,6/07,Kiyamgei Mamang Leikai (B),English,manipur_pdfs/english/A0060007.pdf
6,Keirao,6/08,Kiyamgei Awang Leikai,English,manipur_pdfs/english/A0060008.pdf
6,Keirao,6/09,Takhok Makha,English,manipur_pdfs/english/A0060009.pdf
6,Keirao,6/10,Kiyamgei Muslim (South) (A),English,manipur_pdfs/english/A0060010.pdf
6,Keirao,6/11,Kiyamgei Muslim (South) (B),English,manipur_pdfs/english/A0060011.pdf
6,Keirao,6/12,Arapati Maning (A),English,manipur_pdfs/english/A0060012.pdf
6,Keirao,6/13,Arapati Maning (B),English,manipur_pdfs/english/A0060013.pdf
6,Keirao,6/14,Arapati Nongpok (A),English,manipur_pdfs/english/A0060014.pdf
6,Keirao,6/15,Arapati Nongpok (B),English,manipur_pdfs/english/A0060015.pdf
6,Keirao,6/16,Urup,English,manipur_pdfs/english/A0060016.pdf
6,Keirao,6/17,Urup Naokal (A),English,manipur_pdfs/english/A0060017.pdf
6,Keirao,6/18,Urup Naokal (B),English,manipur_pdfs/english/A0060018.pdf
6,Keirao,6/19,Urup Awang Leikai,English,manipur_pdfs/english/A0060019.pdf
6,Keirao,6/20,Urup Muslim,English,manipur_pdfs/english/A0060020.pdf
6,Keirao,6/21,Keirao Makting,English,manipur_pdfs/english/A0060021.pdf
6,Keirao,6/22,Keirao Maktingi Mayai (A),English,manipur_pdfs/english/A0060022.pdf
6,Keirao,6/23,Keirao Maktingi Mayai (B),English,manipur_pdfs/english/A0060023.pdf
6,Keirao,6/24,Keirao Makting Awang Leikai (A),English,manipur_pdfs/english/A0060024.pdf
6,Keirao,6/25,Keirao Makting Awang Leikai (B),English,manipur_pdfs/english/A0060025.pdf
6,Keirao,6/26,Keirao Bitra (A),English,manipur_pdfs/english/A0060026.pdf
6,Keirao,6/27,Keirao Bitra (B),English,manipur_pdfs/english/A0060027.pdf
6,Keirao,6/28,Keirao Langdum (A),English,manipur_pdfs/english/A0060028.pdf
6,Keirao,6/29,Keirao Langdum (B),English,manipur_pdfs/english/A0060029.pdf
6,Keirao,6/30,Keirao Wangkhem,English,manipur_pdfs/english/A0060030.pdf
6,Keirao,6/31,Khannarok,English,manipur_pdfs/english/A0060031.pdf
6,Keirao,6/32,Phunal Maring,English,manipur_pdfs/english/A0060032.pdf
6,Keirao,6/33,Waithou Chiru,English,manipur_pdfs/english/A0060033.pdf
6,Keirao,6/34,Thiyam Konjil (A),English,manipur_pdfs/english/A0060034.pdf
6,Keirao,6/35,Thiyam Konjil (B),English,manipur_pdfs/english/A0060035.pdf
6,Keirao,6/36,Chanam Sandrok (A),English,manipur_pdfs/english/A0060036.pdf
6,Keirao,6/37,Chanam Sandrok (B),English,manipur_pdfs/english/A0060037.pdf
6,Keirao,6/38,Sandang Senba,English,manipur_pdfs/english/A0060038.pdf
6,Keirao,6/39,Lemba Khul,English,manipur_pdfs/english/A0060039.pdf
7,Andro,7/01,Andro (A),English,manipur_pdfs/english/A0070001.pdf
7,Andro,7/02,Andro (B),English,manipur_pdfs/english/A0070002.pdf
7,Andro,7/03,Andro (C),English,manipur_pdfs/english/A0070003.pdf
7,Andro,7/04,Andro (D),English,manipur_pdfs/english/A0070004.pdf
7,Andro,7/05,Andro (E),English,manipur_pdfs/english/A0070005.pdf
7,Andro,7/06,Andro Ward No-7,English,manipur_pdfs/english/A0070006.pdf
7,Andro,7/07,Andro (G),English,manipur_pdfs/english/A0070007.pdf
7,Andro,7/08,Andro (H),English,manipur_pdfs/english/A0070008.pdf
7,Andro,7/09,Andro (I),English,manipur_pdfs/english/A0070009.pdf
7,Andro,7/10,Andro (J),English,manipur_pdfs/english/A0070010.pdf
7,Andro,7/11,Huikap (A),English,manipur_pdfs/english/A0070011.pdf
7,Andro,7/12,Huikap (A-1),English,manipur_pdfs/english/A0070012.pdf
7,Andro,7/13,Huikap (B),English,manipur_pdfs/english/A0070013.pdf
7,Andro,7/14,Angtha (A),English,manipur_pdfs/english/A0070014.pdf
7,Andro,7/15,Angtha (B),English,manipur_pdfs/english/A0070015.pdf
7,Andro,7/16,Angtha (B-1),English,manipur_pdfs/english/A0070016.pdf
7,Andro,7/17,Poirou Khongjil (A),English,manipur_pdfs/english/A0070017.pdf
7,Andro,7/18,Poirou Khongjil (B),English,manipur_pdfs/english/A0070018.pdf
7,Andro,7/19,Poirou Khongjil (C),English,manipur_pdfs/english/A0070019.pdf
7,Andro,7/20,Tulihal (A),English,manipur_pdfs/english/A0070020.pdf
7,Andro,7/21,Tulihal (B),English,manipur_pdfs/english/A0070021.pdf
7,Andro,7/22,Tulihal Awang Leikai,English,manipur_pdfs/english/A0070022.pdf
7,Andro,7/23,Tulihal (D),English,manipur_pdfs/english/A0070023.pdf
7,Andro,7/24,Top Chingtha (A),English,manipur_pdfs/english/A0070024.pdf
7,Andro,7/25,Top Chingtha (A-1),English,manipur_pdfs/english/A0070025.pdf
7,Andro,7/26,Top Chingtha (B),English,manipur_pdfs/english/A0070026.pdf
7,Andro,7/27,Top Chingtha (C),English,manipur_pdfs/english/A0070027.pdf
7,Andro,7/28,Top Chingtha (C-1),English,manipur_pdfs/english/A0070028.pdf
7,Andro,7/29,Yambem (A),English,manipur_pdfs/english/A0070029.pdf
7,Andro,7/30,Yambem (A-1),English,manipur_pdfs/english/A0070030.pdf
7,Andro,7/31,Yambem (B),English,manipur_pdfs/english/A0070031.pdf
7,Andro,7/32,Yambem (C),English,manipur_pdfs/english/A0070032.pdf
7,Andro,7/33,Yambem (D),English,manipur_pdfs/english/A0070033.pdf
7,Andro,7/34,Changamdabi (A),English,manipur_pdfs/english/A0070034.pdf
7,Andro,7/35,Changamdabi (B),English,manipur_pdfs/english/A0070035.pdf
7,Andro,7/36,Changamdabi (C),English,manipur_pdfs/english/A0070036.pdf
7,Andro,7/37,Changamdabi (C-1),English,manipur_pdfs/english/A0070037.pdf
7,Andro,7/38,Changamdabi (D),English,manipur_pdfs/english/A0070038.pdf
7,Andro,7/39,Nungbrang,English,manipur_pdfs/english/A0070039.pdf
7,Andro,7/40,Keithelmanbi,English,manipur_pdfs/english/A0070040.pdf
7,Andro,7/41,Moirangpurel (A),English,manipur_pdfs/english/A0070041.pdf
7,Andro,7/42,Tumukhong,English,manipur_pdfs/english/A0070042.pdf
7,Andro,7/43,Moirangpurel (B),English,manipur_pdfs/english/A0070043.pdf
7,Andro,7/44,Itham,English,manipur_pdfs/english/A0070044.pdf
8,Lamlai,8/01,Sawombung,English,manipur_pdfs/english/A0080001.pdf
8,Lamlai,8/02,Sawombung Kabui,English,manipur_pdfs/english/A0080002.pdf
8,Lamlai,8/03,Itam Sawombung,English,manipur_pdfs/english/A0080003.pdf
8,Lamlai,8/04,Sekta Awang Leikai,English,manipur_pdfs/english/A0080004.pdf
8,Lamlai,8/05,Huidrom,English,manipur_pdfs/english/A0080005.pdf
