ac_no,ac_name,file_name
1,Purola (SC),uttarakhand_pdfs/A001.pdf
36,Yamkeshwar,uttarakhand_pdfs/A036.pdf
2,Yamunotri,uttarakhand_pdfs/A002.pdf
37,Pauri(SC),uttarakhand_pdfs/A037.pdf
3,Gangotri,uttarakhand_pdfs/A003.pdf
38,Srinagar,uttarakhand_pdfs/A038.pdf
4,Badrinath,uttarakhand_pdfs/A004.pdf
39,Chaubatakhal,uttarakhand_pdfs/A039.pdf
5,Tharali(SC),uttarakhand_pdfs/A005.pdf
40,Lansdown,uttarakhand_pdfs/A040.pdf
6,KaranPrayag,uttarakhand_pdfs/A006.pdf
41,Kotdwar,uttarakhand_pdfs/A041.pdf
7,Kedarnath,uttarakhand_pdfs/A007.pdf
42,Dharchula,uttarakhand_pdfs/A042.pdf
8,Rudraprayag,uttarakhand_pdfs/A008.pdf
43,Didihaat,uttarakhand_pdfs/A043.pdf
9,Ghansali(SC),uttarakhand_pdfs/A009.pdf
44,Pithoragarh,uttarakhand_pdfs/A044.pdf
10,Devprayag,uttarakhand_pdfs/A010.pdf
45,Gangolihat(SC),uttarakhand_pdfs/A045.pdf
11,Narendernagar,uttarakhand_pdfs/A011.pdf
46,Kapkot,uttarakhand_pdfs/A046.pdf
12,Pratapnagar,uttarakhand_pdfs/A012.pdf
47,Bageshwar(SC),uttarakhand_pdfs/A047.pdf
13,Tehri,uttarakhand_pdfs/A013.pdf
48,Dwarahat,uttarakhand_pdfs/A048.pdf
14,Dhanaulti,uttarakhand_pdfs/A014.pdf
49, Sult,uttarakhand_pdfs/A049.pdf
15,Chakrata(ST),uttarakhand_pdfs/A015.pdf
50,Ranikhet,uttarakhand_pdfs/A050.pdf
16,Vikasnagar,uttarakhand_pdfs/A016.pdf
51,Someshwar(SC),uttarakhand_pdfs/A051.pdf
17,Sahaspur,uttarakhand_pdfs/A017.pdf
52,Almora,uttarakhand_pdfs/A052.pdf
18,Dharmpur,uttarakhand_pdfs/A018.pdf
53,Jageshwar,uttarakhand_pdfs/A053.pdf
19,Raipur,uttarakhand_pdfs/A019.pdf
54,Lohaghat,uttarakhand_pdfs/A054.pdf
20,Rajpur Road(SC),uttarakhand_pdfs/A020.pdf
55,Champawat,uttarakhand_pdfs/A055.pdf
21,Dehradun Cantt.,uttarakhand_pdfs/A021.pdf
56,Lalkuan,uttarakhand_pdfs/A056.pdf
22,Mussoorie,uttarakhand_pdfs/A022.pdf
57,Bhimtal,uttarakhand_pdfs/A057.pdf
23,Doiwala,uttarakhand_pdfs/A023.pdf
58,Nainital(SC),uttarakhand_pdfs/A058.pdf
24,Rishikesh,uttarakhand_pdfs/A024.pdf
59,Haldwani,uttarakhand_pdfs/A059.pdf
25,Haridwar,uttarakhand_pdfs/A025.pdf
60,Kaladhungi,uttarakhand_pdfs/A060.pdf
26,BHEL Ranipur,uttarakhand_pdfs/A026.pdf
61,Ramnagar,uttarakhand_pdfs/A061.pdf
27,Jwalapur(SC),uttarakhand_pdfs/A027.pdf
62, Jaspur,uttarakhand_pdfs/A062.pdf
28,Bhagwanpur(SC),uttarakhand_pdfs/A028.pdf
63, Kashipur,uttarakhand_pdfs/A063.pdf
29,Jhabreda(SC),uttarakhand_pdfs/A029.pdf
64,Bajpur(SC),uttarakhand_pdfs/A064.pdf
30,Peeran kalier,uttarakhand_pdfs/A030.pdf
65,Gadarpur,uttarakhand_pdfs/A065.pdf
31,Roorkee,uttarakhand_pdfs/A031.pdf
66,Rudrapur,uttarakhand_pdfs/A066.pdf
32,Khanpur,uttarakhand_pdfs/A032.pdf
67,Kichha,uttarakhand_pdfs/A067.pdf
33,Manglore,uttarakhand_pdfs/A033.pdf
68,Sitarganj,uttarakhand_pdfs/A068.pdf
34,Laksar,uttarakhand_pdfs/A034.pdf
69,Nanakmatta(ST),uttarakhand_pdfs/A069.pdf
35,Haridwar Rural,uttarakhand_pdfs/A035.pdf
70,Khatima,uttarakhand_pdfs/A070.pdf
