district,leg_assembly,polling_station_name,file_name
1 - MAMIT,1 - Hachhek(ST),1/27 - New Eden,mizoram_pdfs/AC001PART027.pdf
1 - MAMIT,1 - Hachhek(ST),1/28 - Darlak,mizoram_pdfs/AC001PART028.pdf
1 - MAMIT,1 - Hachhek(ST),1/29 - Mualthuam,mizoram_pdfs/AC001PART029.pdf
1 - MAMIT,1 - Hachhek(ST),1/30 - Sotapa,mizoram_pdfs/AC001PART030.pdf
1 - MAMIT,1 - Hachhek(ST),1/31 - Kawrtethawveng I,mizoram_pdfs/AC001PART031.pdf
1 - MAMIT,1 - Hachhek(ST),1/32 - Kawrtethawveng II,mizoram_pdfs/AC001PART032.pdf
1 - MAMIT,1 - Hachhek(ST),1/33 - Bunghmun,mizoram_pdfs/AC001PART033.pdf
1 - MAMIT,1 - Hachhek(ST),1/34 - Thaidawr,mizoram_pdfs/AC001PART034.pdf
1 - MAMIT,1 - Hachhek(ST),1/35 - Belkhai,mizoram_pdfs/AC001PART035.pdf
1 - MAMIT,1 - Hachhek(ST),1/36 - Zomuantlang,mizoram_pdfs/AC001PART036.pdf
1 - MAMIT,1 - Hachhek(ST),1/37 - Serhmun,mizoram_pdfs/AC001PART037.pdf
1 - MAMIT,1 - Hachhek(ST),1/Summary,mizoram_pdfs/AC001.pdf
1 - MAMIT,2 - Dampa(ST),2/1 W. Phaileng I,mizoram_pdfs/Ac002part001.Pdf
1 - MAMIT,2 - Dampa(ST),2/2 W. Phaileng II,mizoram_pdfs/Ac002part002.Pdf
1 - MAMIT,2 - Dampa(ST),2/3 W. Phaileng Dinthar Veng-I,mizoram_pdfs/Ac002part003.Pdf
1 - MAMIT,2 - Dampa(ST),2/4 W. Phaileng Dinthar Veng-II,mizoram_pdfs/Ac002part004.Pdf
1 - MAMIT,2 - Dampa(ST),2/5 Kawnmawi,mizoram_pdfs/Ac002part005.Pdf
1 - MAMIT,2 - Dampa(ST),2/6 Lallen,mizoram_pdfs/Ac002part006.Pdf
1 - MAMIT,2 - Dampa(ST),2/7 Saithah,mizoram_pdfs/Ac002part007.Pdf
1 - MAMIT,2 - Dampa(ST),2/8 Parvatui,mizoram_pdfs/Ac002part008.Pdf
1 - MAMIT,2 - Dampa(ST),2/9 Zopui,mizoram_pdfs/Ac002part009.Pdf
1 - MAMIT,2 - Dampa(ST),2/10 Phuldungsei-I,mizoram_pdfs/Ac002part010.Pdf
1 - MAMIT,2 - Dampa(ST),2/11 Phuldungsei-II,mizoram_pdfs/Ac002part011.Pdf
1 - MAMIT,2 - Dampa(ST),2/12 Phuldungsei-III,mizoram_pdfs/Ac002part012.Pdf
1 - MAMIT,2 - Dampa(ST),2/13 West Phulpui,mizoram_pdfs/Ac002part013.Pdf
1 - MAMIT,2 - Dampa(ST),2/14  Silsuri-I,mizoram_pdfs/Ac002part014.Pdf
1 - MAMIT,2 - Dampa(ST),2/15 Silsuri-II,mizoram_pdfs/Ac002part015.Pdf
1 - MAMIT,2 - Dampa(ST),2/16 Hnahva,mizoram_pdfs/Ac002part016.Pdf
1 - MAMIT,2 - Dampa(ST),2/17 Pukzing,mizoram_pdfs/Ac002part017.Pdf
1 - MAMIT,2 - Dampa(ST),2/18 Pukzing Vengthar,mizoram_pdfs/Ac002part018.Pdf
1 - MAMIT,2 - Dampa(ST),2/19 Hruiduk,mizoram_pdfs/Ac002part019.Pdf
1 - MAMIT,2 - Dampa(ST),2/20 Marpara 'N',mizoram_pdfs/Ac002part020.Pdf
1 - MAMIT,2 - Dampa(ST),2/21 Marpara Mizo Veng,mizoram_pdfs/Ac002part021.Pdf
1 - MAMIT,2 - Dampa(ST),2/22 Lianbuang,mizoram_pdfs/Ac002part022.Pdf
1 - MAMIT,2 - Dampa(ST),2/23 Tuahzawl,mizoram_pdfs/Ac002part023.Pdf
1 - MAMIT,2 - Dampa(ST),2/24 Rulpuihlim,mizoram_pdfs/Ac002part024.Pdf
1 - MAMIT,2 - Dampa(ST),2/25 Chungtlang,mizoram_pdfs/Ac002part025.Pdf
1 - MAMIT,2 - Dampa(ST),2/26 Reiek-I,mizoram_pdfs/Ac002part026.Pdf
1 - MAMIT,2 - Dampa(ST),2/27 Reiek-II,mizoram_pdfs/Ac002part027.Pdf
1 - MAMIT,2 - Dampa(ST),2/28 Ailawng,mizoram_pdfs/Ac002part028.Pdf
1 - MAMIT,2 - Dampa(ST),2/29 West Lungdar,mizoram_pdfs/Ac002part029.Pdf
1 - MAMIT,2 - Dampa(ST),2/30 Khawrihnim,mizoram_pdfs/Ac002part030.Pdf
1 - MAMIT,2 - Dampa(ST),2/31 Lungphun,mizoram_pdfs/Ac002part031.Pdf
1 - MAMIT,2 - Dampa(ST),2/32 Kanghmun,mizoram_pdfs/Ac002part032.Pdf
1 - MAMIT,2 - Dampa(ST),2/33 Bawngthah,mizoram_pdfs/Ac002part033.Pdf
1 - MAMIT,2 - Dampa(ST),2/34 Bawlte,mizoram_pdfs/Ac002part034.Pdf
1 - MAMIT,2 - Dampa(ST),2/35 Darlung,mizoram_pdfs/Ac002part035.Pdf
1 - MAMIT,2 - Dampa(ST),2/36 S.Sabual,mizoram_pdfs/Ac002part036.Pdf
1 - MAMIT,2 - Dampa(ST),2/Summary,mizoram_pdfs/Ac002.Pdf
1 - MAMIT,3 - Mamit(ST),3/1 Suarhliap,mizoram_pdfs/AC003PART001.pdf
