constituency_name,part_no,poll_station_name,area_covered,file_name_en,file_name_ta
MANNADIPET,01/11,"MANNADIPET MARRIAGE HALL  - EAST, MANNADIPET PATHAI, THIRUKKANUR, PUDUCHERRY - 605501.

","VANIKAR STREET, THIRUKKANUR, PUDUCHERRY-605501

POST OFFICE STREET, THIRUKKANUR, PUDUCHERRY-605501

DEVANATHA NAGAR I STREET, THIRUKANUR , PUDUCHERRY-605501

DEVANATHAN NAGAR II STREET, THIRUKKANUR, PUDUCHERRY-605501

DEVANATH NAGAR 3RD STREET, THIRUKANNUR, PUDUCHERRY-605501

GANDHI NAGAR, THIRUKANNUR, PUDUCHERRY-605501

THIRD CROSS STREET, HAJI IBURAHIM NAGAR, THIRUKKANUR",eng_01_11.pdf,tam_01_11.pdf
MANNADIPET,01/12,"GOVT. MIDDLE SCHOOL - WEST, VINAYAGAR KOIL STREET, MANNADIPET, PUDUCHERRY-605501

","PILLAIYAR KOVIL ST., MANNADIPET, PUDUCHERRY-605501

VINAYAGAR KOIL STREET, MANNADIPET, PUDUCHERRY-605501

REDDIYAR STREET, MANNADIPET, PUDUCHERRY-605501

KAMBATHAN STREET, MANNADIPET, PUDUCHERRY-605501

MIDDLE STREET -1, MANNADIPET, PUDUCHERRY-605501

NADHUTHERU - 2, MANNADIPET, PUDUCHERRY-605501

THEANNASALAI, MANNADIPET, PUDUCHERRY-605501

DROWPATHIYAMMAN KOIL STREET, MANNADIPET, PUDUCHERRY - 605501

EAST STREET, MANNADIPET, PUDUCHERRY - 605501",eng_01_12.pdf,tam_01_12.pdf
MANNADIPET,01/13,"JAWAHAR COMMUNITY HALL, MUMARAMPET, MANNADIPET, PUDUCHERRY-605501

","MUMARAMPET, MANNADIPET, PUDUCHERRY-605501

PUDHU NAGAR, MANNADIPET, PUDUCHERRY-605501

CHINNAPET, MANNADIPET, PUDUCHERRY-605501

SAKKILIPET, MANNADIPET, PUDUCHERRY-605501

ANNAMALAIYAR NAGAR, MANNADIPET, PUDUCHERRY - 605501

PILLAIYAR KOIL STREET, MUMMARAMPET, MANNADIPET, PUDUCHERRY - 605501",eng_01_13.pdf,tam_01_13.pdf
MANNADIPET,01/14,"GOVT. MIDDLE SCHOOL - NORTH, VINAYAGAR KOIL STREET, MANNADIPET, PUDUCHERRY-605501

","THIRUVANNAMALAI PATHAI, MANNADIPET, PUDUCHERRY-605501

PERIAPET, MANNADIPET, PUDUCHERRY-605501

THIRUKKANUR ROAD, MANNADIPET, PUDUCHERRY-605501

MARIAMMAN KOIL STREET, PERIYAPET, MANNADIPET, PUDUCHERRY - 605 501.

IYYANAR KOIL STREET, MANNADIPET, PUDUCHERRY - 605501",eng_01_14.pdf,tam_01_14.pdf
MANNADIPET,01/15,"GOVT. PRIMARY SCHOOL, AYYANAR KOIL STREET, SOMEPET, PUDUCHERRY-605501.

","THIRUVANNAMALAI ROAD, SOMPATTU, PUDUCHERRY-605501.

MARIYAMMAN KOIL STREET, SOMPATTU, PUDUCHERRY-605501.

SOMPET PET, SOMEPET , PUDUCHERRY-605501.

AYYANAR KOIL STREET, SOMEPET, PUDUCHERRY-605501.

AYYANNAR KOIL 2ND CROSS, SOMPATTU, PUDUCHERRY-605501.

BEEMARAO NAGAR, SOMPATTU, PUDUCHERRY-605501.",eng_01_15.pdf,tam_01_15.pdf
MANNADIPET,01/16,"ANNAI SARADHA DEVI GOVT. HIGH SCHOOL, MAIN ROAD, VADHANOOR, PUDUCHERRY-605501

","NORTH STREET, VADHANOOR, PUDUCHERRY-605501

KUTTAI STREET, VADHANOOR, PUDUCHERRY-605501

PATTAI STREET, VADHANOOR, PUDUCHERRY-605501

MAIN ROAD, VADHANOOR, PUDUCHERRY-605501

NADHU STREET, VADHANOOR, PUDUCHERRY-605501

SANTHUTHERU, VADHANOOR, PUDUCHERRY-605501

KALATHUMEDU, VADHANOOR, PUDUCHERRY-605501

TRIBALS NAGAR, VADHANOOR, PUDUCHERRY-605501",eng_01_16.pdf,tam_01_16.pdf
MANNADIPET,01/17,"ANNAI SARADHA DEVI GOVT. HIGH SCHOOL, MAIN ROAD, VADHANOOR, PUDUCHERRY-605501

","PILLAIYAR KOIL STREET, VADHANOOR, PUDUCHERRY-605501

VADHANOORPET, VADHANOOR, PUDUCHERRY-605501

PETMARIAMMANKOIL STREET, VADHANOOR, PUDUCHERRY-605501

PUTHU STREET, VADHANOOR, PUDUCHERRY-605501

CROSS STREET, VADHANOOR, PUDUCHERRY-605501

ERIKARAI STREET, VADHANOOR, PUDUCHERRY-605501

ANDIYARPALAYAM, VADHANOOR, PUDUCHERRY-605501

THIRUVALLUVAR STREET, VADHANUR PET, PUDUCHERRY-605501

AMBETKAR STREET, VADHANUR PET, PUDUCHERRY-605501

BARATHIYAR STREET, VADHANUR PET, PUDUCHERRY-605501

MURUGAN KOIL STREET, VADHANUR PET, PUDUCHERRY-605501

4TH CROSS STREET, RAJA SRI LAKSHMI NAGAR, VADHANUR, PUDUCHERRY - 605501

RAJA SRI LAKSHMI NAGAR, VADHANUR, PUDUCHERRY - 605501",eng_01_17.pdf,tam_01_17.pdf
MANNADIPET,01/18,"PAVENDHAR BARATHIDASAN GOVT. HIGHER SEC. SCHOOL  -WEST, MAIN ROAD , PURANASINGUPALAYAM, PUDUCHERRY-605107

","PET MARIAMANAN KOIL STREET , PURANASINGUPALAYAM, PUDUCHERRY-605107

PET AMBATHKAR NAGAR, PURANASINGUPALAYAM, PUDUCHERRY-605107

KALATHU MEDU (IRULAR), PURANASINGUPALAYAM, PUDUCHERRY-605107

PUDHU NAGAR, PURANASING PALAYAM, PUDUCHERRY-605107

PUDHU NAGAR SECOND STREET, PURANASING PALAYAM, PUDUCHERRY-605107

I CROSS ST., PUDU NAGAR, PURANASINGUPALAYAM, PUDUCHERRY-605107

WORKSHOP STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

SHESHANGANOOR SALAI, PURANASINGUPALAYAM, PUDUCHERRY-605107

GURU SITHANANDHA GARDEN, P.S.PALAYAM, PUDUCHERRY

KRISHNA NAGAR, P.S. PALAYAM, PUDUCHERRY - 605107",eng_01_18.pdf,tam_01_18.pdf
MANNADIPET,01/19,"PAVENDHAR BARATHIDASAN GOVT. HIGHER SEC. SCHOOL  - EAST, MAIN ROAD , PURANASINGUPALAYAM, PUDUCHERRY-605107

","MARIAMMANKOIL STREET , PURANASINGUPALAYAM, PUDUCHERRY-605107

RICE MILL STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

KUTTAI STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

METTU STREET , PURANASINGUPALAYAM, PUDUCHERRY-605107

KUMALAM ROAD, PURANASINGU PALAYAM, PUDUCHERRY-605107

ANNANAGAR STREET , PURANASINGUPALAYAM, PUDUCHERRY-605107

MAIN ROAD , PURANASINGUPALAYAM, PUDUCHERRY-605107

THOPPUR FIRST STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

THOPPUR SECOND STREET, PURANASING PALAYAM, PUDUCHERRY-605107

THOPPUR THIRD STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

THOPPUR FOURTH STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

THOPPUR FIFTH STREET, PURANASINGUPALAYAM, PUDUCHERRY-605107

SCHOOL BACKSIDE, P.S. PALAYAM, PUDUCHERRY - 605107

THOPPU STREET, P.S.PALAYAM, PUDUCHERRY - 605107.

THIRUKKANUR SALAI, P.S. PALAYAM, PUDUCHERRY - 605107

ANNA NAGAR ROAD, KUMARAN NAGAR, P.S. PALAYAM, PUDUCHERRY - 605107

KUMRAN NAGAR, P.S. PALAYAM, PUDUCHERRY - 605107",eng_01_19.pdf,tam_01_19.pdf
MANNADIPET,01/20,"DR. RADHAKRISHNAN MIDDLE SCHOOL  - PVT., MAIN ROAD, MANAVELI, PUDUCHERRY-605501

","MURUGAN KOIL STREET., MANAVELI, PUDUCHERRY-605501

PILLAIYAR KOIL STREET, KODATHUR MANAVELI, PUDUCHERRY-605501

MARIYAMMAN KOIL STREET., MANAVELI, PUDUCHERRY-605501

MAIN ROAD, MANAVELI, PUDUCHERRY-605501

PUDHU NAGAR, MANAVELI, PUDUCHERRY-605501

PUDHU NAGAR IST CROSS STREET, MANAVELI, PUDUCHERRY-605501

PUDHU NAGAR 2ND CROSS STREET, MANAVELI, PUDUCHERRY-605501

PUTHUNAGAR III CROSS, MANAVELI, PUDUCHERRY-605501

PUTHUNAGAR IV CROSS, MANAVELY,, PUDUCHERRY-605501

PUTHUNAGAR 5TH CROSS, MANAVELI,, PUDUCHERRY-605501

PUTHUNAGAR 6TH CROSS, MANAVELI,, PUDUCHERRY-605501

MANAVELY PATHAI, MANAVELY (K), PUDUCHERRY-605501

THANNEER THOTTI ST., K. MANAVELI, PUDUCHERRY - 605501

BALAMURUGAN NAGAR, MANAVELI (K), PUDUCHERRY 65 501

ROJA NAGAR, K. MANAVELI, PUDUCHERRY - 605501

SANTA CLARA SCHOOL, K. MANAVELI, PUDUCHERRY - 605501

DHANALAKSHMI NAGAR, KODATHUR MANAVELY, PUDUCHERRY - 605501

JAYA NAGAR, K. MANAVELI, PUDUCHERRY - 605501

RISE MILL STREET, K. MANAVELI, PUDUCHERRY - 605501

MALLIGAI NAGAR, KODATHUR MANAVELI, PUDUCHERRY - 605501

BALAJI NAGAR, K. MANAVELI, PUDUCHERRY - 605501

T.V. MALAI ROAD, KODATHUR MANAVELY, PUDUCHERRY - 605501",eng_01_20.pdf,tam_01_20.pdf
